source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0059,1,2.051109313964844,2.051109313964844,7.220371246337891,7.220371246337891,0.1859786063432693,100,0.001,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0079,1,2.042212963104248,2.042212963104248,7.393803119659424,7.393803119659424,0.190412163734436,200,0.0005,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0075,1,2.031141996383667,2.031141996383667,7.339839935302734,7.339839935302734,0.1899414956569671,200,0.0005,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0085,1,2.00349497795105,2.00349497795105,7.278578281402588,7.278578281402588,0.1917767822742462,200,0.001,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0081,1,1.9856271743774412,1.9856271743774412,7.233494758605957,7.233494758605957,0.1905043721199035,200,0.001,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0065,1,1.9785096645355225,1.9785096645355225,7.324166297912598,7.324166297912598,0.1911338865756988,100,0.002,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0083,1,1.975366711616516,1.975366711616516,7.269086837768555,7.269086837768555,0.1874017715454101,200,0.001,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0087,1,1.9730920791625977,1.9730920791625977,7.208179473876953,7.208179473876953,0.1862808465957641,200,0.001,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0071,1,1.9576531648635864,1.9576531648635864,7.258937835693359,7.258937835693359,0.1863276064395904,100,0.002,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0089,1,1.9540101289749143,1.9540101289749143,7.2749528884887695,7.2749528884887695,0.1911385655403137,200,0.002,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0067,1,1.952253580093384,1.952253580093384,7.162003040313721,7.162003040313721,0.1860121190547943,100,0.002,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0091,1,1.9023783206939695,1.9023783206939695,7.227780342102051,7.227780342102051,0.1807841062545776,200,0.002,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0095,1,1.897141695022583,1.897141695022583,7.269682884216309,7.269682884216309,0.1832263469696045,200,0.002,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
