correction,sigma_a,rho,object,projected_mean_energy,projected_covariance_trace,clean_floor_raw,clean_floor_mean_gain_cross,exact_projected_total,measured_raw_total_mean,exact_identity_abs_error,scalar_qdelta_proxy,scalar_proxy_over_exact_gain_energy,n_seeds
agc,0.05,0.03,2,0.11245462462337509,0.399415601092608,0.47856935164185194,-0.008114228985606223,0.982325348372229,0.98232527970271,6.866951896000728e-08,0.5200996584279152,1.0160771857757913,5
scgi_proxy,0.05,0.03,2,0.11299028579824297,0.39891446029677585,0.47856935164185194,-0.00842235629851358,0.9820517414383572,0.9820517728638898,3.1425532620588115e-08,0.5201534660079542,1.0161137789322319,5
agc,0.05,0.03,3,0.1139051209393305,0.3844836388578946,0.5095086583081527,-0.014347196089490399,0.9935502220158875,0.9935501663431359,5.5672751630986284e-08,0.5079521454630539,1.0191886062392734,5
scgi_proxy,0.05,0.03,3,0.11384586946953601,0.38399899077251,0.5095086583081527,-0.01369807853380642,0.9936554400163924,0.9936553422404895,9.777590292969762e-08,0.5075663280821086,1.0195271029519841,5
agc,0.05,0.03,4,0.09361970096219023,0.3191285971994201,0.5442038003208816,-0.013490971891667994,0.943461126590824,0.943461136512034,9.9212099646806e-09,0.4207680898035593,1.0194302234016936,5
scgi_proxy,0.05,0.03,4,0.09384170787833719,0.3190023380949154,0.5442038003208816,-0.01349356543983565,0.9435542808542987,0.9435544052629483,1.2440864960439058e-07,0.42095745281687225,1.0196524739129829,5
agc,0.05,0.03,5,0.12663547173954834,0.44831460593060485,0.49345120782500074,-0.025169935523702006,1.043231349971452,1.043231303818042,4.615340998270767e-08,0.5850610824262006,1.01758588292921,5
scgi_proxy,0.05,0.03,5,0.12719477179219463,0.44795610615289727,0.49345120782500074,-0.025427675473804656,1.043174410296288,1.043174441968767,3.1672478861821673e-08,0.5852351255022482,1.0175332211839534,5
agc,0.05,0.03,6,0.1348093540324373,0.4740692724916409,0.4846212373521136,-0.003304011212269601,1.0901958526639222,1.0901959508098866,9.814596446666712e-08,0.6180217948731158,1.0150164054882882,5
scgi_proxy,0.05,0.03,6,0.13527951587504355,0.47313356062861683,0.4846212373521136,-0.003129145742667207,1.0899051681131067,1.0899051808272833,1.271417660042573e-08,0.6177741918786649,1.0153861179789225,5
agc,0.05,0.03,7,0.155434268583182,0.546169321259067,0.526752882227022,-0.02455354884945287,1.2038029232198184,1.2038028579520708,6.526774765092114e-08,0.7126304581178694,1.0157166645599685,5
scgi_proxy,0.05,0.03,7,0.15562692241884057,0.5452670873455274,0.526752882227022,-0.0252894218815004,1.2023574701098898,1.2023574971190836,2.700919377041089e-08,0.7124614716777946,1.016503867563821,5
agc,0.05,0.03,8,0.14511581661344827,0.511512902271806,0.5043874577514778,-0.006101823914873434,1.1549143527218586,1.1549144333638524,8.064199374935299e-08,0.6673519029841165,1.0163306657026314,5
scgi_proxy,0.05,0.03,8,0.14564620681867144,0.5109450285175097,0.5043874577514778,-0.006220669549703082,1.1547580235379558,1.1547580797363561,5.619840037773827e-08,0.6675395926726542,1.0166745407907667,5
agc,0.05,0.03,9,0.12225654049499132,0.4153039364983197,0.5066149518944131,-0.007700724568840024,1.036474704318884,1.0364746542983316,5.002055236680292e-08,0.5451987951382716,1.014209225699931,5
scgi_proxy,0.05,0.03,9,0.1227318623295003,0.4145874640470158,0.5066149518944131,-0.008190420416743387,1.035743857854186,1.0357436880406339,1.6981355210887727e-07,0.5450288832868821,1.0143481846490734,5
agc,0.05,0.1,0,0.18212029132728969,0.6363582262164332,0.4923020115030484,-0.01487299873361601,1.2959075303131553,1.2959074443788279,8.59343274317581e-08,0.8240815642074075,1.0068456856760266,5
scgi_proxy,0.05,0.1,0,0.18225501077166414,0.6365409082522288,0.4923020115030484,-0.015143405907072936,1.2959545246198685,1.2959545591583304,3.4538461868294235e-08,0.8244586953565121,1.0069159801619063,5
agc,0.05,0.1,1,0.18222354044165942,0.634990138888125,0.4980248860946312,0.019551598020074747,1.3347901634444905,1.3347902255668833,6.21223927854686e-08,0.8201068959295269,1.0035403428416851,5
scgi_proxy,0.05,0.1,1,0.1823905610201534,0.6352073082011809,0.4980248860946312,0.019040288795469814,1.3346630441114353,1.3346629912706631,5.2840772202245034e-08,0.8205863011967053,1.0036551366972337,5
agc,0.05,0.1,2,0.20634423024887077,0.7292809926722312,0.47856935164185194,-0.0038174498671086294,1.4103771246958454,1.4103770977226007,2.6973244748873526e-08,0.9394871467279069,1.0041276396918284,5
scgi_proxy,0.05,0.1,2,0.20701829741953107,0.7294929933471662,0.47856935164185194,-0.003844894846941102,1.411235747561608,1.4112357267294953,2.083211270154095e-08,0.940394850482114,1.004146837046927,5
agc,0.05,0.1,3,0.2045580312884334,0.7029484278502542,0.5095086583081527,-0.013490830977852806,1.4035242864689876,1.4035243317763435,4.530735586705248e-08,0.9140533635903936,1.0072141684345912,5
scgi_proxy,0.05,0.1,3,0.2047671660985077,0.7034035258190217,0.5095086583081527,-0.012994433413343233,1.404684916812339,1.4046848758371477,4.097519124002247e-08,0.9147988797744144,1.0072983943611857,5
agc,0.05,0.1,4,0.17074957396492044,0.5826467238077169,0.5442038003208816,-0.010292498901412697,1.2873075991921064,1.2873075772990368,2.1893069579448365e-08,0.7591191969543409,1.0075961339319333,5
scgi_proxy,0.05,0.1,4,0.17086913981676027,0.5833300939016695,0.5442038003208816,-0.010082628550047459,1.288320405489264,1.2883202719466893,1.335425747761576e-07,0.7598916068512676,1.0075475721511578,5
agc,0.05,0.1,5,0.231205874266063,0.8196748940234303,0.49345120782500074,0.00044609699782660335,1.5447780731123206,1.5447779076611539,1.6545116676702776e-07,1.0576128948461052,1.0064061754289877,5
scgi_proxy,0.05,0.1,5,0.2320298645098088,0.8199744596612488,0.49345120782500074,0.00039980497599938843,1.5458553369720578,1.5458552044830594,1.324889984388733e-07,1.058542869648316,1.0062153218642047,5
agc,0.05,0.1,6,0.2494814569891791,0.8652280994770225,0.4846212373521136,0.00752647271142162,1.606857266529737,1.606857292461526,2.5931789160438257e-08,1.1202178291289409,1.0049414420382305,5
