estimator,sigma_a,rho,seed,object,S1_true,S1_hat,gamma,gamma_minus_1_sq,min_pair_sum,n_denominator_clipped,delta_mean,delta_second_moment,rel_mse_raw,rel_mse_aligned,coefficient_risk_raw,risk_f7_component,risk_gauge_component,risk_normalization_increment_cross,risk_decomposition_sum,risk_decomposition_abs_error,coefficient_identity_max_abs_over_S1
median_pair_sum,0.5,0.3,2,5,197.74866265058517,177.8846893310547,0.8995493923788025,0.010090324571467782,42.98353576660156,0,0.06519278409709164,0.1784489725914568,8.76522608241531,0.9313313466562851,8.765225618405138,8.735560634979507,0.010090324571467782,0.01957474376649744,8.765225703317473,8.491233415702792e-08,9.214773491218811e-08
true_s1,0.5,0.3,2,6,217.80729159526527,217.80729159526527,1.0,0.0,47.32297897338867,0,0.06519278409709164,0.1784489725914568,11.345231993041434,0.9401733574596806,11.345232366523671,11.34523174914483,0.0,-0.0,11.34523174914483,6.173788413832426e-07,1.1061028592627322e-07
median_pair_sum,0.5,0.3,2,6,217.80729159526527,196.63064575195312,0.9027734760934308,0.009452996950954666,47.32297897338867,0,0.06519278409709164,0.1784489725914568,9.282357182373424,0.9401733682322274,9.282356710075456,9.246363298509776,0.009452996950954666,0.026540410501864578,9.282356705962595,4.11286134316402e-09,7.652652558105328e-08
true_s1,0.5,0.3,2,7,229.46783746033907,229.46783746033907,1.0,0.0,49.89993476867676,0,0.06519278409709164,0.1784489725914568,13.109871929229199,0.9461311373239721,13.109872316561736,13.109872562973523,0.0,-0.0,13.109872562973523,2.464117869749316e-07,9.048919208157883e-08
median_pair_sum,0.5,0.3,2,7,229.46783746033907,206.7761993408203,0.9011119014731607,0.009778856030253883,49.89993476867676,0,0.06519278409709164,0.1784489725914568,10.67938516294407,0.9461311504768145,10.679385285154668,10.64525137997855,0.009778856030253883,0.02435497327315871,10.679385209281962,7.587270521233758e-08,7.285483281938302e-08
true_s1,0.5,0.3,2,8,208.90131407044828,208.90131407044828,1.0,0.0,45.373647689819336,0,0.06519278409709164,0.1784489725914568,12.25793353609081,0.9219864857871776,12.25793458766061,12.257933689424544,0.0,0.0,12.257933689424544,8.982360668596812e-07,1.203632757150591e-07
median_pair_sum,0.5,0.3,2,8,208.90131407044828,188.38362884521484,0.9017828809908098,0.009646602466465424,45.373647689819336,0,0.06519278409709164,0.1784489725914568,9.97468789430224,0.9219865097099168,9.974688355120268,9.968303238824772,0.009646602466465424,-0.0032622185837907504,9.974687622707448,7.324128210891949e-07,1.0767253398211363e-07
true_s1,0.5,0.3,2,9,157.6987950624898,157.6987950624898,1.0,0.0,34.32015514373779,0,0.06519278409709164,0.1784489725914568,9.932659421743102,0.9116016567189671,9.932659888017112,9.9326603397984,0.0,-0.0,9.9326603397984,4.5178128793565975e-07,7.37598792444535e-08
median_pair_sum,0.5,0.3,2,9,157.6987950624898,142.08714294433594,0.9010033519154818,0.00980033633196995,34.32015514373779,0,0.06519278409709164,0.1784489725914568,8.076522489702326,0.9116016604946919,8.07652257901758,8.063403591395495,0.00980033633196995,0.0033186298732513736,8.076522557600716,2.1416862754173455e-08,8.678966894417817e-08
true_s1,0.5,0.3,3,0,148.97826256789267,148.97826256789267,1.0,0.0,33.436540603637695,0,0.06800512315187632,0.1626023121509078,7.977086664197253,0.9055566122423503,7.977086045674651,7.977086719300883,0.0,-0.0,7.977086719300883,6.736262321282993e-07,1.156196272013378e-07
