sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,points,rho_min,rho_max
0.5,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.01543978419231351,-2.74222412898391,9,0.001,10.0
0.5,reference_k32,srht_paired,hadamard_paired,0.013658381681834966,observed,0.0658530318417121,-0.08993838125054765,9,0.001,10.0
0.5,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.046139468812777196,-11.205191739417389,9,0.001,10.0
0.5,reference_k8,random_binary,hadamard_paired,,not_reached,-0.003602153752281012,-10.543880497399197,9,0.001,10.0
0.5,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.00044777032654863547,-6.795566749892686,9,0.001,10.0
0.5,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.023306518983179814,-2.8719181620079794,9,0.001,10.0
0.5,reference_k8,srht_paired,hadamard_paired,0.0012982053984376407,observed,0.07779950142682956,-0.005203867098906301,9,0.001,10.0
0.5,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.044696124321360386,-11.175954330102874,9,0.001,10.0
0.5,scgi_frozen,random_binary,hadamard_paired,2.5826432912007458,observed,0.00889118713152115,-10.132937015986338,9,0.001,10.0
0.5,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.0009189849616344503,-4.114659046442167,9,0.001,10.0
0.5,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.03220319161036933,-2.2488233723046136,9,0.001,10.0
0.5,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,1.29645605934682,0.03254166998943653,9,0.001,10.0
0.5,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.04710363767156167,-12.412547219923905,9,0.001,10.0
0.5,scgi_proxy,random_binary,hadamard_paired,2.771929758622547,observed,0.006445353822918776,-11.322755818516525,9,0.001,10.0
0.5,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.007012135579117285,-5.952337819504891,9,0.001,10.0
0.5,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.029437651788068564,-2.6036746394176014,9,0.001,10.0
0.5,scgi_proxy,srht_paired,hadamard_paired,0.0027451741772606462,observed,0.16710445350145342,-0.05821492228291447,9,0.001,10.0
