sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.3,reference_k2,random_binary,hadamard_paired,,not_reached,-0.02317498266294038,-0.02386676561419243,2
0.3,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.026430749307010615,-0.033756120308586546,2
0.3,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.18501317062952616,-0.19856507789179823,2
0.3,reference_k2,srht_paired,hadamard_paired,3.0,left_censored,0.037503726256847614,0.035769927819670144,2
0.3,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.19259311985704564,-0.20299520712688945,2
0.3,reference_k32,random_binary,hadamard_paired,,not_reached,-0.09992050821189657,-0.11023345809057439,2
0.3,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.009248083308035504,-0.019442483141077105,2
0.3,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.11339004616502102,-0.11907322639039286,2
0.3,reference_k32,srht_paired,hadamard_paired,3.0,left_censored,0.01920460075486119,0.017511520867484975,2
0.3,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.18865211432884443,-0.1984998743768589,2
0.3,reference_k8,random_binary,hadamard_paired,,not_reached,-0.0613607267125893,-0.06922899739151767,2
0.3,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.02904787542866849,-0.03734593843191192,2
0.3,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.11811940067907223,-0.12390695038935995,2
0.3,reference_k8,srht_paired,hadamard_paired,3.0,left_censored,0.026563348155972832,0.02415465501587377,2
0.3,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.0797228314567544,-0.08437946302796284,2
0.3,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.04336711343776578,-0.04790313427723447,2
0.3,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.07862663071987797,-0.08318567196401361,2
0.3,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.08802840408994683,-0.0920061509882828,2
0.3,scgi_frozen,srht_paired,hadamard_paired,3.0,left_censored,0.11904981189810293,0.11342425843269233,2
0.3,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.1718913736409391,-0.18245342092723327,2
0.3,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.01747003597420793,-0.0283538180492382,2
0.3,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.047855503813334366,-0.05787555517386167,2
0.3,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.12842049981983195,-0.13426189720570392,2
0.3,scgi_proxy,srht_paired,hadamard_paired,3.0,left_censored,0.03436484638128512,0.032375233486517274,2
0.5,agc,random_uniform,hadamard_paired,,not_reached,-0.04360033939966179,-0.04601951803717874,2
0.5,agc,random_binary,hadamard_paired,3.0,left_censored,0.010981282120782865,0.00865720760454991,2
0.5,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.012479409570769207,-0.014769527486187428,2
0.5,agc,dct_paired,hadamard_paired,,not_reached,-0.03795312826642139,-0.039620508168694,2
0.5,agc,srht_paired,hadamard_paired,3.0,left_censored,0.035080970730158256,0.03364988567789595,2
0.5,none,random_uniform,hadamard_paired,,not_reached,-0.055819277787447774,-0.05879961185645044,2
0.5,none,random_binary,hadamard_paired,,not_reached,-0.0011828134199269869,-0.0041405202694839716,2
0.5,none,fourier_fourstep,hadamard_paired,,not_reached,-0.0027018333799588845,-0.005525595796425975,2
0.5,none,dct_paired,hadamard_paired,,not_reached,-0.0438787559951237,-0.04582223681224562,2
0.5,none,srht_paired,hadamard_paired,3.0,left_censored,0.0193754098948542,0.018542125930270714,2
0.5,pairwise,dct_paired,hadamard_paired,,not_reached,-0.04701513745945185,-0.04975578424053495,2
0.5,pairwise,srht_paired,hadamard_paired,3.0,left_censored,0.014323154833832064,0.0132051957242183,2
0.5,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.06887443759379153,-0.07485614756495451,2
0.5,reference_k2,random_binary,hadamard_paired,,not_reached,-0.008500621885286108,-0.009129271092358948,2
0.5,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.0161931571626166,-0.01834544505822855,2
0.5,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.06330098573351073,-0.0687170409918636,2
0.5,reference_k2,srht_paired,hadamard_paired,3.0,left_censored,0.02118483680949801,0.020229144042398062,2
0.5,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.05138209475003919,-0.053525345183000894,2
0.5,reference_k32,random_binary,hadamard_paired,,not_reached,-0.026931926026900754,-0.028963745531076057,2
0.5,reference_k32,fourier_fourstep,hadamard_paired,3.0,left_censored,0.007874046889650543,0.005165673264739823,2
0.5,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.029708780543938218,-0.031022591037601188,2
0.5,reference_k32,srht_paired,hadamard_paired,3.0,left_censored,0.010424745002767466,0.00914005265706841,2
0.5,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.050117690524693614,-0.05206839650056949,2
0.5,reference_k8,random_binary,hadamard_paired,,not_reached,-0.009592795394373965,-0.010731066995283811,2
0.5,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.002118320943257146,-0.0036672639732202583,2
0.5,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.028607957754779534,-0.029889493950843615,2
0.5,reference_k8,srht_paired,hadamard_paired,3.0,left_censored,0.015761101555003876,0.014167879245468029,2
0.5,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.019987479311289746,-0.021322526380203044,2
0.5,scgi_frozen,random_binary,hadamard_paired,3.0,left_censored,0.002770381649538578,0.0016130934294391608,2
0.5,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.027979004219178094,-0.029355299041206706,2
0.5,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.031203604382156414,-0.03248524500339123,2
0.5,scgi_frozen,srht_paired,hadamard_paired,3.0,left_censored,0.04156976799149703,0.03986733499640671,2
0.5,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.05576920546996966,-0.05860327775132568,2
0.5,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.002660110629570056,-0.005424052829431147,2
0.5,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.013990273310561463,-0.01670176817549418,2
0.5,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.04449172174073723,-0.046372953063331224,2
0.5,scgi_proxy,srht_paired,hadamard_paired,3.0,left_censored,0.02070544492428361,0.01976716326537442,2
