condition,rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
nonideal,0.003,0.05,random_binary,reference_k8,15.258395093646845,1.6417019843206242,0.33827759381857375,0.010769793288419639,2048,257,2305
nonideal,0.003,0.05,random_binary,reference_k2,15.253695928533611,1.6422460344405099,0.33863438626872994,0.010494352097772407,2048,1025,3073
nonideal,0.003,0.05,random_binary,reference_k32,15.190305702406445,1.6406422113143482,0.3435939775547612,0.009992853592851875,2048,65,2113
nonideal,0.003,0.05,random_uniform,reference_k2,15.169894787338992,1.6575502949900716,0.3453151762273161,0.013183934741770511,2048,1025,3073
nonideal,0.003,0.05,random_uniform,reference_k8,15.152052806987287,1.6609092766471403,0.34674055149377137,0.013342676245444194,2048,257,2305
nonideal,0.003,0.05,random_uniform,reference_k32,15.017149526020496,1.6864205889527504,0.35772478961380394,0.014798241573358914,2048,65,2113
nonideal,0.003,0.1,srht_paired,reference_k8,33.692524180850086,2.2080489222484148,0.004913431083654707,0.0008134460950619359,2048,257,2305
nonideal,0.003,0.1,hadamard_paired,reference_k8,33.643076881246074,2.2037090935095307,0.004967435354356568,0.0008081692158372429,2048,257,2305
nonideal,0.003,0.1,hadamard_paired,reference_k32,33.35092275288119,2.189806195248608,0.005311369684857305,0.0008563977900422723,2048,65,2113
nonideal,0.003,0.1,srht_paired,reference_k32,33.32097007972624,2.184766856508821,0.005346593246667666,0.0008494533755214725,2048,65,2113
nonideal,0.003,0.1,srht_paired,reference_k2,32.25583277223928,2.2089872315640284,0.006837281615361092,0.0011062340727315014,2048,1025,3073
nonideal,0.003,0.1,hadamard_paired,reference_k2,32.22536972116193,2.2144717340217666,0.006886296663032509,0.0011232202879154685,2048,1025,3073
nonideal,0.003,0.1,dct_paired,reference_k8,30.716800160811122,2.221856080765128,0.009750408325137327,0.0016201320160305847,2048,257,2305
nonideal,0.003,0.1,dct_paired,reference_k32,30.497078742726266,2.2249440455342753,0.010260085562685517,0.0017272571629166993,2048,65,2113
nonideal,0.003,0.1,dct_paired,reference_k2,29.27322975967098,2.2187446595337375,0.013592882105453237,0.002239781419788751,2048,1025,3073
nonideal,0.003,0.1,fourier_fourstep,reference_k8,19.82915008645783,1.7159765539722187,0.11814383449313968,0.005322911105747227,2048,257,2305
nonideal,0.003,0.1,fourier_fourstep,reference_k32,19.737491742177802,1.7230431766781655,0.12065819669227273,0.005294960167004241,2048,65,2113
nonideal,0.003,0.1,fourier_fourstep,reference_k2,19.649941497007273,1.7192149800057486,0.12311929665852307,0.005522491497799406,2048,1025,3073
nonideal,0.003,0.1,random_binary,reference_k2,15.23876838203618,1.6419358944499933,0.33978591494830873,0.010054674898692733,2048,1025,3073
nonideal,0.003,0.1,random_binary,reference_k8,15.205861162943641,1.649138959729765,0.3423810140899217,0.010502518652499598,2048,257,2305
nonideal,0.003,0.1,random_uniform,reference_k2,15.145650743008368,1.6628242920641227,0.3472298384505173,0.012735249760454809,2048,1025,3073
nonideal,0.003,0.1,random_uniform,reference_k8,15.004663462680272,1.67948921250928,0.35872422273360177,0.014155301864035299,2048,257,2305
nonideal,0.003,0.1,random_binary,reference_k32,14.991363400159168,1.6598616854815589,0.35971200286991595,0.010894403246304878,2048,65,2113
nonideal,0.003,0.1,random_uniform,reference_k32,14.558706894711563,1.7372477549329162,0.39772708877934965,0.020323629745880874,2048,65,2113
nonideal,0.003,0.15,srht_paired,reference_k2,30.832521552489993,2.217639944143315,0.009491156978805567,0.0015541255776016824,2048,1025,3073
nonideal,0.003,0.15,hadamard_paired,reference_k2,30.823684516899434,2.218184180058282,0.0095087132762176,0.001543337514126997,2048,1025,3073
nonideal,0.003,0.15,hadamard_paired,reference_k8,30.77368484026486,2.2282244839890324,0.009621853631590597,0.0015888752290676175,2048,257,2305
nonideal,0.003,0.15,srht_paired,reference_k8,30.760863583685214,2.2293910381051103,0.009654747166682076,0.0016275145976152178,2048,257,2305
nonideal,0.003,0.15,hadamard_paired,reference_k32,30.33450701491668,2.1991038798348446,0.010638959935119326,0.0017143082762479556,2048,65,2113
nonideal,0.003,0.15,srht_paired,reference_k32,30.24941814020545,2.2118499360250623,0.010852781929552201,0.0017724932007189876,2048,65,2113
nonideal,0.003,0.15,dct_paired,reference_k2,27.89125282893237,2.213597595626566,0.018679039339103413,0.0030251707838950845,2048,1025,3073
