variant,correction,rho,sigma_a,seed,object,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
sign_only,none,1.0,0.3,1,3,0.0839169351548137,0.890100230522932,10.761503859877404,0.10340799982314768,,,
sign_only,agc,1.0,0.3,1,3,0.08378627085287513,0.8887142847056535,10.768271386646566,0.10470777200906635,0.08740482479333878,0.13542504608631134,0.9998927116394043
sign_only,pairwise,1.0,0.3,1,3,0.08295789366253445,0.8799277539926109,10.81142283407244,0.12245194516502206,0.02916143462061882,0.8200433254241943,0.9997757077217102
sign_only,oracle,1.0,0.3,1,3,7.50153747835537e-14,7.95682090443637e-13,120.0,1.0000000499796349,1.3988611057534368e-14,0.9999999403953552,0.9999998807907104
sign_only,none,1.0,0.3,1,4,0.03150902248613504,0.8902234346443513,15.015650698651184,0.11329260337037868,,,
sign_only,agc,1.0,0.3,1,4,0.03150688490918873,0.8901630417492116,15.015945334691878,0.11417671865339553,0.08748123049736023,0.1326359063386917,0.9998147487640381
sign_only,pairwise,1.0,0.3,1,4,0.031177113929461507,0.8808460324910544,15.061640899977668,0.13385214041497723,0.029176980257034302,0.8199387788772583,0.9997354745864868
sign_only,oracle,1.0,0.3,1,4,2.3315907189489338e-14,6.587436023827644e-13,120.0,0.9999999419082847,1.3988611057534368e-14,0.9999999403953552,0.9999998807907104
sign_only,none,1.0,0.3,1,5,0.1044818001580446,0.9044137717957212,9.809593533740326,0.09035757145403535,,,
sign_only,agc,1.0,0.3,1,5,0.10430405284284086,0.9028751581852473,9.81698816280223,0.09153837389217401,0.08750999718904495,0.13101013004779816,0.9998913407325745
sign_only,pairwise,1.0,0.3,1,5,0.10386130489285124,0.8990426501044214,9.835462253168844,0.10456100056826369,0.02915804088115692,0.820061981678009,0.9999327659606934
sign_only,oracle,1.0,0.3,1,5,8.461163805149776e-14,7.324139763309532e-13,120.0,1.0000000290920847,1.3988611057534368e-14,0.9999999403953552,0.9999998807907104
sign_only,none,1.0,0.3,1,6,0.12203372419529734,0.9167555760158203,9.135201348335782,0.08255291074023492,,,
sign_only,agc,1.0,0.3,1,6,0.12185558965008098,0.9154173734928291,9.141545444562137,0.08375046849367099,0.08742024749517441,0.13469287753105164,0.9999193549156189
sign_only,pairwise,1.0,0.3,1,6,0.12104791269640369,0.9093498511273055,9.170426949645003,0.09736733446546326,0.029143663123250008,0.8201614618301392,0.9998792409896851
sign_only,oracle,1.0,0.3,1,6,1.154041214636326e-13,8.669519228773087e-13,120.0,1.000000164084555,1.3988611057534368e-14,0.9999999403953552,0.9999998807907104
sign_only,none,1.0,0.3,1,7,0.11602655486974682,0.9039868640398787,9.354426028974999,0.08215823074868543,,,
sign_only,agc,1.0,0.3,1,7,0.11573418905526174,0.9017089815664611,9.36538327092475,0.08350950939568981,0.08745188266038895,0.13334161043167114,0.9999285936355591
sign_only,pairwise,1.0,0.3,1,7,0.11521083077612593,0.8976313890700156,9.385066917009695,0.09561754290128613,0.02913537435233593,0.8202177882194519,0.9998953342437744
sign_only,oracle,1.0,0.3,1,7,1.237606541656711e-13,9.642448297835347e-13,120.0,0.9999998643793001,1.3988611057534368e-14,0.9999999403953552,0.9999998807907104
sign_only,none,1.0,0.3,1,8,0.10351688895583341,0.9137521105302571,9.849887885457099,0.08100806707915169,,,
sign_only,agc,1.0,0.3,1,8,0.10336768957424809,0.9124351152921992,9.856151907630194,0.08216177742971092,0.08740252256393433,0.13537003099918365,0.9999415874481201
sign_only,pairwise,1.0,0.3,1,8,0.10216482196403437,0.9018173037581777,9.906986174776923,0.0968924127778516,0.029144443571567535,0.8201546669006348,0.9999855756759644
sign_only,oracle,1.0,0.3,1,8,1.0176290964905866e-13,8.982695906288365e-13,120.0,1.000000243743511,1.3988611057534368e-14,0.9999999403953552,0.9999998807907104
