image_size,num_pixels,num_frames,basis,sigma_delta,seed,object,mse,rel_mse,psnr,recon_scale,delta_recon_mse,delta_recon_rel_mse
16,256,512,random_binary,0.05,2,0,0.05492285483535478,0.4362018753736311,12.60246896653455,0.5813511072926113,0.01667108488209361,0.0886476938143978
16,256,512,random_binary,0.05,2,1,0.036157933721387384,0.4008817843984688,14.417963956479925,0.5814626863491419,0.013831881380957957,0.10245443743789334
16,256,512,random_binary,0.05,2,2,0.09755324584039594,0.46276286827508173,10.107582759658083,0.6359050695195291,0.03431195847756971,0.1308739124067987
16,256,512,random_binary,0.05,2,3,0.04090360534718356,0.3974084540005645,13.882384104919458,0.5849058924416837,0.010634608241074796,0.0634255710375439
16,256,512,random_binary,0.05,2,4,0.058136783271257916,0.44008130009824487,12.355490015678308,0.60855042670352,0.013799850101921916,0.08112573985412297
16,256,512,random_binary,0.05,3,0,0.05218133817039636,0.414428522291243,12.82484787777632,0.6120318353278071,0.016682009578616774,0.08870578536388304
16,256,512,random_binary,0.05,3,1,0.03285045445514288,0.3642118739901547,14.834586180069211,0.6351416767090352,0.009618500467766413,0.0712454095924926
16,256,512,random_binary,0.05,3,2,0.09908153031028742,0.47001258404552704,10.040072943734334,0.6119985475040749,0.036051896998987865,0.13751044881419014
16,256,512,random_binary,0.05,3,3,0.04236930630832858,0.41164881125151503,13.729486464292975,0.5681115213141821,0.012950730794390105,0.07723909309748872
16,256,512,random_binary,0.05,3,4,0.0607748565804833,0.46005087299775466,12.162760573530463,0.6152443366977746,0.018626007184043083,0.10949746570966447
16,256,512,random_binary,0.1,0,0,0.06473224694508523,0.5141088823448954,11.888793177632351,0.49210569628388234,0.06389098176912486,0.33973722942614976
16,256,512,random_binary,0.1,0,1,0.04478936933150046,0.4965782181594478,13.488250527099803,0.5065298009076711,0.047563774626177634,0.3523106971157583
16,256,512,random_binary,0.1,0,2,0.12403209742835042,0.5883704706045778,9.064659121589324,0.4768803653480864,0.14803633774999125,0.5646455509784085
16,256,512,random_binary,0.1,0,3,0.047960088344151726,0.4659673493523035,13.191200255869031,0.5337441093654098,0.039418759825760624,0.23509632840861297
16,256,512,random_binary,0.1,0,4,0.07787550505959731,0.58949862004798,11.085991237178801,0.47788259687110773,0.06571097449625372,0.3862977773795932
16,256,512,random_binary,0.1,1,0,0.0630392668858718,0.5006630940840185,12.003888461097418,0.5358205745013689,0.051050052139395494,0.27145620235687096
16,256,512,random_binary,0.1,1,1,0.045241314981452896,0.5015889242468062,13.444647803847545,0.5011399507081757,0.05332743175240719,0.3950028105158702
16,256,512,random_binary,0.1,1,2,0.12957376278933205,0.6146584422181948,8.874829292476923,0.43969815558541586,0.1620649973615155,0.6181541716065091
16,256,512,random_binary,0.1,1,3,0.0494810822220344,0.4807449177456798,13.055608102976082,0.48191380762842395,0.04895349421718684,0.29196217243018807
16,256,512,random_binary,0.1,1,4,0.07779108771200637,0.588859601272116,11.090701559564202,0.46393820335604136,0.07233090290684986,0.4252146196731298
