arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n,rel_mse_grid,abs_diff
hadamard_paired+pairwise,0.1,4,10.0,0.5485633118254654,1.170930585285833,5,0.5485633538803303,4.205486492381283e-08
hadamard_paired+pairwise,0.1,5,0.001,0.0016813563694884942,0.0017202536865960974,5,0.0016813566766812602,3.0719276601642864e-10
hadamard_paired+pairwise,0.1,5,0.003,0.0050216739617373425,0.005098729239400512,5,0.0050216779065957,3.944858357508851e-09
hadamard_paired+pairwise,0.1,5,0.01,0.016480021339566258,0.016687152955818678,5,0.0164800225067622,1.1671959405934462e-09
hadamard_paired+pairwise,0.1,5,0.03,0.04750610468673523,0.04948681925131351,5,0.0475061008186201,3.868115133753847e-09
hadamard_paired+pairwise,0.1,5,0.1,0.13915006876280833,0.1606804810761075,5,0.13915007781311373,9.050305393998315e-09
hadamard_paired+pairwise,0.1,5,0.3,0.30721901265618595,0.4384605049505012,5,0.30721901677369007,4.117504115441761e-09
hadamard_paired+pairwise,0.1,5,1.0,0.518901661696631,1.0610065571743994,5,0.5189016476963031,1.4000327897001341e-08
hadamard_paired+pairwise,0.1,5,3.0,0.6169510496351454,1.576894781036007,5,0.6169510438513788,5.783766576783478e-09
hadamard_paired+pairwise,0.1,5,10.0,0.6286995063884413,1.6579890968578124,5,0.6286994896209808,1.6767460531141865e-08
hadamard_paired+pairwise,0.1,6,0.001,0.0017702204213988482,0.0018103559729196223,5,0.00177021887864056,1.542758288090515e-09
hadamard_paired+pairwise,0.1,6,0.003,0.005287212199331743,0.005362665595237604,5,0.00528721164240524,5.56926503178512e-10
hadamard_paired+pairwise,0.1,6,0.01,0.01734571278856028,0.01755994083672813,5,0.01734570857851886,4.210041419649979e-09
hadamard_paired+pairwise,0.1,6,0.03,0.049940884133810065,0.05208459662720606,5,0.049940876621161125,7.512648940444233e-09
hadamard_paired+pairwise,0.1,6,0.1,0.14586943782825038,0.16918773826646297,5,0.14586943739834263,4.2990774828943756e-10
