arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n
hadamard_paired+pairwise,0.1,7,10.0,0.6740091822946352,2.0094769265135257,5
hadamard_paired+pairwise,0.1,8,0.001,0.0019151275602768843,0.001962006415245537,5
hadamard_paired+pairwise,0.1,8,0.003,0.005719838859601518,0.005821866451911736,5
hadamard_paired+pairwise,0.1,8,0.01,0.01875751391141335,0.019042832476294617,5
hadamard_paired+pairwise,0.1,8,0.03,0.05389250747667392,0.056358584632087184,5
hadamard_paired+pairwise,0.1,8,0.1,0.1556508519365395,0.18300113811465885,5
hadamard_paired+pairwise,0.1,8,0.3,0.3344864821942646,0.4993499720839464,5
hadamard_paired+pairwise,0.1,8,1.0,0.5482469071970785,1.2080799029818114,5
hadamard_paired+pairwise,0.1,8,3.0,0.6430704880664203,1.7956677410902988,5
hadamard_paired+pairwise,0.1,8,10.0,0.6542223816406005,1.8872415967608158,5
hadamard_paired+pairwise,0.1,9,0.001,0.0015542149420121726,0.0015999320215572862,5
hadamard_paired+pairwise,0.1,9,0.003,0.004643699170607342,0.0047402954214113896,5
hadamard_paired+pairwise,0.1,9,0.01,0.015256449185266743,0.01545064812550477,5
