sigma_a,object,rho,rel_mse,K_eff,D_H,pred_rel_mse,ratio_measured_over_pred
0.1,0,20.0,0.5648504380964688,256.3624220382574,0.9938941713593432,1.2739855824710606,0.44337270834797676
0.15,0,0.001,0.0029294756723527425,256.3624220382574,0.9938941713593432,0.002865034810309977,1.0224921742000732
0.15,0,0.002,0.005841039039336899,256.3624220382574,0.9938941713593432,0.005727206017849801,1.0198758384336652
0.15,0,0.00298499,0.008689953924907779,256.3624220382574,0.9938941713593432,0.008543619368288595,1.0171279349314573
0.15,0,0.003,0.00873321943435106,256.3624220382574,0.9938941713593432,0.008586516484790693,1.017085269657401
0.15,0,0.00445509,0.012906737950285721,256.3624220382574,0.9938941713593432,0.012741966611658332,1.0129313899219161
0.15,0,0.0066492,0.019123756867891473,256.3624220382574,0.9938941713593432,0.018996490421772753,1.0066994714967379
0.15,0,0.0099239,0.028240548990240373,256.3624220382574,0.9938941713593432,0.02830585295056364,0.9976929167109954
0.15,0,0.01,0.028450183848386996,256.3624220382574,0.9938941713593432,0.02852182883897527,0.9974880646331357
0.15,0,0.0148114,0.0415066250522097,256.3624220382574,0.9938941713593432,0.042143524968601444,0.9848873601136531
0.15,0,0.0221059,0.06058734757729315,256.3624220382574,0.9938941713593432,0.06267059830118521,0.9667587229041555
0.15,0,0.03,0.08031493025953018,256.3624220382574,0.9938941713593432,0.08471691952747139,0.9480388416800996
0.15,0,0.032993,0.08755456706334157,256.3624220382574,0.9938941713593432,0.09303025210562582,0.9411408126029025
0.15,0,0.0492418,0.12470101226654007,256.3624220382574,0.9938941713593432,0.13773112903222726,0.9053945403828185
0.15,0,0.0734932,0.17406023674541898,256.3624220382574,0.9938941713593432,0.20311082895929647,0.8569717214846322
0.15,0,0.1,0.22098097811607453,256.3624220382574,0.9938941713593432,0.2727804547412857,0.8101056152489386
0.15,0,0.109688,0.23655997604865148,256.3624220382574,0.9938941713593432,0.29778676930672376,0.7943938429480458
0.15,0,0.163709,0.3110063687489418,256.3624220382574,0.9938941713593432,0.4328680140099936,0.7184785169683653
0.15,0,0.244335,0.3934486332038941,256.3624220382574,0.9938941713593432,0.6213779051529899,0.6331873565845938
0.15,0,0.3,0.43681371171829075,256.3624220382574,0.9938941713593432,0.7429361642353524,0.58795591431179
0.15,0,0.36467,0.4775870219137458,256.3624220382574,0.9938941713593432,0.875918609193168,0.545241323681505
0.15,0,0.544268,0.5562432407337502,256.3624220382574,0.9938941713593432,1.203152799945593,0.46232136164160004
0.15,0,0.812317,0.6232499937723788,256.3624220382574,0.9938941713593432,1.5942474994423539,0.39093678615797306
0.15,0,1.0,0.6520947956800374,256.3624220382574,0.9938941713593432,1.811953079979761,0.3598850339365968
0.15,0,1.21238,0.6749026987798745,256.3624220382574,0.9938941713593432,2.013726676940283,0.33515109399322357
0.15,0,1.80947,0.7103597634761553,256.3624220382574,0.9938941713593432,2.3971095973909,0.29634012739731896
0.15,0,2.70063,0.7311205785039745,256.3624220382574,0.9938941713593432,2.6739464704161118,0.2734237901143173
0.15,0,3.0,0.7345131741908777,256.3624220382574,0.9938941713593432,2.723754549762103,0.26966937026503773
0.15,0,4.03068,0.7405253918767218,256.3624220382574,0.9938941713593432,2.8155526600508067,0.26301244596979373
0.15,0,6.01577,0.7432976505334026,256.3624220382574,0.9938941713593432,2.859473474853371,0.2599421386734555
0.15,0,8.9785,0.7437106982649594,256.3624220382574,0.9938941713593432,2.8661061282883713,0.2594847032789748
0.15,0,10.0,0.7437250696360003,256.3624220382574,0.9938941713593432,2.8663374290419315,0.25946877785585387
0.15,0,13.4004,0.7437328988439675,256.3624220382574,0.9938941713593432,2.866463225093557,0.25946012226258136
0.15,0,20.0,0.7437331701466687,256.3624220382574,0.9938941713593432,2.8664675605598857,0.25945982448215843
0.3,0,0.001,0.01162525304104248,256.3624220382574,0.9938941713593432,0.011460139241239908,1.0144076608780113
0.3,0,0.002,0.022987719368638616,256.3624220382574,0.9938941713593432,0.022908824071399204,1.003443882453046
