arm,sigma_a,rho,object,rel_mse,psnr,gain_rel_mse,n
hadamard_paired+pairwise,0.05,8.9785,6,0.3083812382433363,13.870433656510102,,5
hadamard_paired+pairwise,0.05,8.9785,7,0.3396078063315652,13.608499843596084,,5
hadamard_paired+pairwise,0.05,8.9785,8,0.3228259580074047,14.369946876966702,,5
hadamard_paired+pairwise,0.05,8.9785,9,0.2827600087777669,16.486191227222417,,5
hadamard_paired+pairwise,0.05,10.0,0,0.2456814829904232,16.82710553930567,,5
hadamard_paired+pairwise,0.05,10.0,1,0.24766200939260585,17.046766751360984,,5
hadamard_paired+pairwise,0.05,10.0,2,0.27428910007938156,17.128014435807845,,5
hadamard_paired+pairwise,0.05,10.0,3,0.266896928043189,15.994596469455592,,5
hadamard_paired+pairwise,0.05,10.0,4,0.23125506929655826,20.87166783048237,,5
hadamard_paired+pairwise,0.05,10.0,5,0.2971596519711315,14.646180358528204,,5
hadamard_paired+pairwise,0.05,10.0,6,0.30839814127319765,13.8701956865075,,5
hadamard_paired+pairwise,0.05,10.0,7,0.3396252580015349,13.608276591741136,,5
hadamard_paired+pairwise,0.05,10.0,8,0.3228430574409953,14.369716881441349,,5
hadamard_paired+pairwise,0.05,10.0,9,0.2827763102160561,16.485941044640605,,5
hadamard_paired+pairwise,0.05,13.4004,0,0.24568935458404026,16.82696642303288,,5
hadamard_paired+pairwise,0.05,13.4004,1,0.24766997512536645,17.046627207883038,,5
hadamard_paired+pairwise,0.05,13.4004,2,0.2742976325679389,17.127879397366694,,5
