sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points,rho_lower_bound,rho_upper_bound,rho_interval_midpoint,interval_kind,rho_grid_min,rho_grid_max
0.3,reference_k2,random_binary,hadamard_paired,,not_reached,-0.0384395558234391,-16.895987088867876,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.111845610288995,-12.248613513566934,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.3218422859870049,-2.989936660919515,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.0548628754602837,0.0203062019209951,7,,0.001,0.001,upper_bound,0.001,1.0
0.3,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.3189612871040665,-15.39262311451695,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k32,random_binary,hadamard_paired,,not_reached,-0.2091505896962768,-14.596107262442382,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.1051169364129123,-9.813090629872605,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.1590966757517371,-2.8519426554688643,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k32,srht_paired,hadamard_paired,0.1,observed,0.0637473235221595,-0.1055818145672446,7,0.03,0.1,0.05477225575051661,closed_interval,0.001,1.0
0.3,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.305945233923282,-14.836338087007674,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k8,random_binary,hadamard_paired,,not_reached,-0.158462159275075,-14.577380207827623,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.1205796493932265,-10.189330327670593,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.1752018189245721,-2.9618480225833963,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,reference_k8,srht_paired,hadamard_paired,0.01,observed,0.1001058130970324,-0.0184470469138346,7,0.003,0.01,0.005477225575051661,closed_interval,0.001,1.0
0.3,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.3026639154231514,-13.643548081265177,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.1365052569513274,-13.017454230216469,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.1241629262339607,-4.971467066102598,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.1834966724250577,-1.6046177277264668,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.4986831167105023,0.0735852862907311,7,,0.001,0.001,upper_bound,0.001,1.0
0.3,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.3033111281840703,-15.625025067641465,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.1463583239924357,-14.665800362241104,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.156770885436126,-8.798138861852006,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.1820011147698412,-2.722797509956628,7,1.0,,1.0,lower_bound,0.001,1.0
0.3,scgi_proxy,srht_paired,hadamard_paired,0.01,observed,0.1403724183520598,-0.0912428249631105,7,0.003,0.01,0.005477225575051661,closed_interval,0.001,1.0
0.5,agc,random_uniform,hadamard_paired,,not_reached,-0.0702383354365281,-9.38751653576701,7,1.0,,1.0,lower_bound,0.001,1.0
