config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0078,1,6.85154914855957,6.85154914855957,2.8512611389160156,2.8512611389160156,0.10521739721298218,42,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.055
cfg0062,1,6.64099645614624,6.64099645614624,2.8362817764282227,2.8362817764282227,0.10181774199008942,42,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.065
cfg0064,1,6.405806541442871,6.405806541442871,2.5491061210632324,2.5491061210632324,0.08049511164426804,42,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.06
cfg0061,1,6.39508581161499,6.39508581161499,2.845639228820801,2.845639228820801,0.10406716912984848,42,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0006,1,6.350946426391602,6.350946426391602,4.951916694641113,4.951916694641113,0.17494045197963715,38,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.055
cfg0069,1,6.322736740112305,6.322736740112305,2.85227108001709,2.85227108001709,0.10538067668676376,42,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.055
cfg0018,1,6.321343898773193,6.321343898773193,8.173096656799316,8.173096656799316,0.1935901939868927,38,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.055
cfg0073,1,6.313643932342529,6.313643932342529,2.5423357486724854,2.5423357486724854,0.0795268714427948,42,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.06
cfg0065,1,6.259415626525879,6.259415626525879,2.5347495079040527,2.5347495079040527,0.07729864120483398,42,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.065
cfg0072,1,6.233676433563232,6.233676433563232,2.5567948818206787,2.5567948818206787,0.0825345516204834,42,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.055
cfg0027,1,6.2299604415893555,6.2299604415893555,4.92676305770874,4.92676305770874,0.17937499284744263,40,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.055
