config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0036,36,36,20240710,stripe_target,1,scgi_ured,40,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.055,6.942698955535889,4.9256463050842285,0.17914964258670807,0.004685699939727783,0.9740428844495653,6.942698955535889,0.006052607204765081,0.695094108581543,0.11954209953546524,0.3462844491004944,1.0,0.6537155508995056,0.09918290376663208,0.0182807520031929,0.013806465081870556,0.774193525314331,0.21533203125,2.0081682205200195,0.00022769661154597998,0.00582491047680378,0.003172328695654869,0.003654570784419775,0.14026495814323425
cfg0037,37,37,20240710,stripe_target,1,scgi_ured,40,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.06,8.066495895385742,4.9151225090026855,0.1755046546459198,0.004685699939727783,0.9740428844495653,8.066495895385742,0.006305187940597534,0.6952073574066162,0.11612409353256226,0.3629553020000458,1.0,0.6370446681976318,0.08715204894542694,0.015804966911673546,0.013338892720639706,0.774193525314331,0.21307373046875,1.9040719270706177,0.0002275975130032748,0.006077590398490429,0.004041748121380806,0.003720778040587902,0.14128537476062775
cfg0038,38,38,20240710,stripe_target,1,scgi_ured,40,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.065,8.274568557739258,4.897680282592773,0.16956818103790283,0.004685699939727783,0.9740428844495653,8.636991500854492,0.0064604743383824825,0.6949887275695801,0.1131165400147438,0.42661648988723755,1.0,0.5733835101127625,0.08037173002958298,0.014235394075512886,0.012700692750513554,0.774193525314331,0.2120361328125,1.8679412603378296,0.0002275339502375573,0.0062329405918717384,0.004759723320603371,0.003789894049987197,0.141933411359787
cfg0039,39,39,20240710,stripe_target,1,scgi_ured,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.055,8.176018714904785,3.6630918979644775,0.15197356045246124,0.004685699939727783,0.9740428844495653,8.176018714904785,0.02021102048456669,0.7920559644699097,0.11047954112291336,0.4542910158634186,1.0,0.5457090139389038,0.07942362129688263,0.013285916298627853,0.010603153146803379,0.8387097120285034,0.22467041015625,1.7783572673797607,0.0002278214378748089,0.0199831984937191,0.0030985018238425255,0.004055570345371962,0.2614275813102722
cfg0040,40,40,20240710,stripe_target,1,scgi_ured,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,8.931845664978027,3.65154767036438,0.15032313764095306,0.004685699939727783,0.9740428844495653,8.931845664978027,0.020444171503186226,0.793175458908081,0.1092640832066536,0.4747447371482849,1.0,0.5252552628517151,0.07210802286863327,0.011962192133069038,0.010470126755535603,0.8387097120285034,0.21954345703125,1.714892029762268,0.0002277164749102667,0.020216455683112144,0.004016992636024952,0.0041327327489852905,0.2617894113063812
cfg0041,41,41,20240710,stripe_target,1,scgi_ured,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.065,8.55420207977295,3.637512683868408,0.14643770456314087,0.004685699939727783,0.9740428844495653,8.96325969696045,0.020554136484861374,0.7937793731689453,0.10810521990060806,0.5469698309898376,1.0,0.45303016901016235,0.06837335973978043,0.011098979040980339,0.010255571454763412,0.8709677457809448,0.21270751953125,1.7167741060256958,0.00022764825553167611,0.020326487720012665,0.004779736511409283,0.004207898396998644,0.2619062662124634
cfg0042,42,42,20240710,stripe_target,1,scgi_ured,40,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.055,7.651175022125244,3.190765619277954,0.12637504935264587,0.004685699939727783,0.9740428844495653,7.701625823974609,0.03240538015961647,0.8256908655166626,0.09771586209535599,0.4595817029476166,1.0,0.540418267250061,0.07041013985872269,0.00960901752114296,0.007637105882167816,0.8709677457809448,0.2325439453125,1.7918652296066284,0.00022782632731832564,0.032177552580833435,0.0029598218388855457,0.003501206636428833,0.3282560110092163
cfg0043,43,43,20240710,stripe_target,1,scgi_ured,40,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.06,8.287245750427246,3.1800537109375,0.12449733167886734,0.004685699939727783,0.9740428844495653,8.771954536437988,0.03261421248316765,0.8267122507095337,0.09630090743303299,0.5190349221229553,1.0,0.4809650778770447,0.06384813040494919,0.008381076157093048,0.007447246462106705,0.8709677457809448,0.2274169921875,1.7432968616485596,0.0002277154562762007,0.03238649666309357,0.003951800521463156,0.003578377654775977,0.3285912275314331
cfg0044,44,44,20240710,stripe_target,1,scgi_ured,40,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.065,8.077521324157715,3.168281078338623,0.1213412806391716,0.004685699939727783,0.9740428844495653,9.208126068115234,0.03268640115857124,0.8274453282356262,0.09548205882310867,0.5745615363121033,1.0,0.42543846368789673,0.06027339771389961,0.007698373403400183,0.007319084834307432,0.8709677457809448,0.2269287109375,1.734206199645996,0.00022764148889109492,0.03245875984430313,0.004778602160513401,0.003653372870758176,0.3286111354827881
cfg0045,45,45,20240710,stripe_target,1,scgi_ured,40,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.055,7.476449012756348,4.922138690948486,0.17869310081005096,0.004685699939727783,0.9740428844495653,7.476449012756348,0.006449388340115547,0.6953620910644531,0.11843786388635635,0.3488253951072693,1.0,0.6511746048927307,0.09649831056594849,0.017486464232206345,0.013715105131268501,0.774193525314331,0.214111328125,1.9568276405334473,0.00022764713503420353,0.0062217409722507,0.003223271109163761,0.0036758151836693287,0.14251422882080078
