sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,max_margin_db_above_floor,min_margin_db_above_floor,points,above_floor_points,sub_floor_points,rho_min,rho_max,above_floor_rho_min,above_floor_rho_max,above_floor_rel_mse
0.3,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.05486287546028379,0.020306201920995193,0.05486287546028379,0.020306201920995193,9,5,4,0.001,10.0,0.001,0.1,0.5
0.3,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.1936549583152356,-15.392623114516953,-4.880351042979942,-15.392623114516953,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,reference_k32,random_binary,hadamard_paired,,not_reached,-0.08666097820224294,-14.596107262442386,-4.411524760089,-14.596107262442386,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.0074917485958838625,-9.813090629872608,-2.2983573880950683,-9.813090629872608,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.0972041331934097,-2.851942655468868,-1.7622252621689078,-2.851942655468868,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,reference_k32,srht_paired,hadamard_paired,,not_reached,0.0637473235221595,-0.10558181456724824,-0.0030204879000788054,-0.10558181456724824,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.18159006335480044,-14.836338087007674,-4.567257114880828,-14.836338087007674,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,reference_k8,random_binary,hadamard_paired,,not_reached,-0.05214419158950001,-14.577380207827623,-3.5097672947664176,-14.577380207827623,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.028798873610512032,-10.189330327670596,-2.2599122535021383,-10.189330327670596,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.10895665042425051,-2.9618480225833963,-1.9594483902134936,-2.9618480225833963,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,reference_k8,srht_paired,hadamard_paired,0.003606253964684729,observed,0.1001058130970307,-0.018447046913834697,0.05188763401725183,-0.018447046913834697,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.1652377550382269,-15.625025067641463,-4.628977951691615,-15.625025067641463,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.007278035801382643,-14.665800362241104,-4.273960781002467,-14.665800362241104,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.0474881603035886,-8.798138861852006,-2.310412955842036,-8.798138861852006,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.11555285323469455,-2.722797509956628,-1.6338527813029717,-2.722797509956628,9,4,5,0.001,10.0,0.001,0.03,0.5
0.3,scgi_proxy,srht_paired,hadamard_paired,0.006831231253668056,observed,0.14037241835205982,-0.09124282496310698,0.11437593628255449,-0.09124282496310698,9,4,5,0.001,10.0,0.001,0.03,0.5
0.5,agc,random_uniform,hadamard_paired,,not_reached,-0.03522833765073585,-9.38751653576701,-4.05663024395721,-9.38751653576701,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,agc,random_binary,hadamard_paired,,not_reached,0.018857489940144134,-8.295622766255144,-3.726840295973286,-8.295622766255144,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.007832412038544234,-2.8316505152993585,-2.0206760747943804,-2.8316505152993585,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,agc,dct_paired,hadamard_paired,,not_reached,-0.02905389349484011,-2.2246112188564773,-1.5894803887171456,-2.2246112188564773,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,agc,srht_paired,hadamard_paired,0.001,left_censored,3.01906408759098,0.04369579848107996,3.01906408759098,0.8730812334426918,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,none,random_uniform,hadamard_paired,,not_reached,-0.04799816726997541,-9.673745424067212,-3.8007798608467294,-9.673745424067212,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,none,random_binary,hadamard_paired,,not_reached,0.009225458415318855,-9.413898897228282,-3.6918937802364855,-9.413898897228282,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,none,fourier_fourstep,hadamard_paired,,not_reached,0.004867166982704063,-2.655382422941873,-1.504357154694727,-2.655382422941873,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,none,dct_paired,hadamard_paired,,not_reached,-0.03214003263973986,-1.110268701569673,-0.907315618870097,-1.110268701569673,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,none,srht_paired,hadamard_paired,0.001,left_censored,0.15383640152074385,0.030039515960885055,0.1494094600141338,0.062385226146702166,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,pairwise,dct_paired,hadamard_paired,,not_reached,-0.04935805157702866,-2.850202231175242,-1.9308952397343369,-2.850202231175242,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.07833218309862922,0.025000598464496093,0.07334492210030774,0.03725006847293244,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.06638964035408712,-12.66367796530603,-2.6965771241109913,-12.66367796530603,9,4,5,0.001,10.0,0.001,0.03,0.5
0.5,reference_k2,random_binary,hadamard_paired,,not_reached,0.0028444974298729164,-12.583897890361465,-1.5289432302425148,-12.583897890361465,9,4,5,0.001,10.0,0.001,0.03,0.5
