config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance
cfg0066,1,5.290899276733398,5.290899276733398,6.190440654754639,6.190440654754639,0.13658225536346436,36,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,3,4
cfg0096,1,5.284350872039795,5.284350872039795,4.865635395050049,4.865635395050049,0.1474536806344986,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,3,4
cfg0124,1,5.277857780456543,5.277857780456543,4.936228275299072,4.936228275299072,0.1737159788608551,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,7,4
cfg0078,1,5.274346828460693,5.274346828460693,7.394495010375977,7.394495010375977,0.13822394609451294,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,3,4
cfg0054,1,5.2714152336120605,5.2714152336120605,7.4202799797058105,7.4202799797058105,0.14369802176952362,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,3,4
cfg0090,1,5.266872406005859,5.266872406005859,6.169781684875488,6.169781684875488,0.13097107410430908,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,3,4
cfg0132,1,5.259552955627441,5.259552955627441,4.129980087280273,4.129980087280273,0.13768607378005981,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,3,4
cfg0048,1,5.250182151794434,5.250182151794434,7.495293140411377,7.495293140411377,0.15888240933418274,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,3,4
cfg0076,1,5.243252277374268,5.243252277374268,7.634639263153076,7.634639263153076,0.18740051984786987,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,7,4
cfg0115,1,5.197037696838379,5.197037696838379,4.103728294372559,4.103728294372559,0.12714511156082153,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,3,6
cfg0139,1,5.192873954772949,5.192873954772949,4.092423439025879,4.092423439025879,0.12233313173055649,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,3,6
cfg0036,1,5.1850409507751465,5.1850409507751465,8.502458572387695,8.502458572387695,0.15328727662563324,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,3,4
cfg0002,1,5.1805925369262695,5.1805925369262695,9.456184387207031,9.456184387207031,0.1759653240442276,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,4
cfg0102,1,5.17036771774292,5.17036771774292,4.824038028717041,4.824038028717041,0.13303524255752563,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,3,4
cfg0108,1,5.138171672821045,5.138171672821045,4.135262966156006,4.135262966156006,0.14049597084522247,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,3,4
cfg0126,1,5.128875732421875,5.128875732421875,4.809936046600342,4.809936046600342,0.12782783806324005,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,3,4
cfg0016,1,5.123192310333252,5.123192310333252,8.714176177978516,8.714176177978516,0.18635036051273346,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,7,4
cfg0025,1,5.083657264709473,5.083657264709473,9.241497993469238,9.241497993469238,0.14981089532375336,34,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,3,6
cfg0031,1,5.079024314880371,5.079024314880371,9.131758689880371,9.131758689880371,0.13610514998435974,34,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,3,6
cfg0042,1,5.064687728881836,5.064687728881836,8.393858909606934,8.393858909606934,0.1363380253314972,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,3,4
cfg0088,1,5.062543869018555,5.062543869018555,6.346498489379883,6.346498489379883,0.1805153340101242,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,7,4
cfg0040,1,5.04065465927124,5.04065465927124,8.700529098510742,8.700529098510742,0.1853378266096115,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,7,4
cfg0018,1,5.022040843963623,5.022040843963623,8.42689323425293,8.42689323425293,0.14181078970432281,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,3,4
cfg0114,1,4.980014324188232,4.980014324188232,4.10080623626709,4.10080623626709,0.1275075376033783,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,3,4
cfg0138,1,4.960042953491211,4.960042953491211,4.088733196258545,4.088733196258545,0.12274079024791718,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,3,4
cfg0012,1,4.9500298500061035,4.9500298500061035,8.52122974395752,8.52122974395752,0.1569157987833023,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,3,4
cfg0007,1,4.905642032623291,4.905642032623291,9.165765762329102,9.165765762329102,0.14074000716209412,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,3,6
cfg0001,1,4.785728454589844,4.785728454589844,9.262084007263184,9.262084007263184,0.15303008258342743,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,3,6
