image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,gain_rel_mse_mean,gain_rel_mse_std,gain_corr_mean,gain_corr_std
32,1024,hadamard_paired,0.003,0.1,0.5,1024,0.027948459261097014,0.00579394205555057,0.22862763091688976,0.3199605854295211
32,1024,hadamard_paired,0.003,0.15,0.0015,3,0.000580868991164607,0.00011923825708778043,0.9773582220077515,0.012009679365092361
32,1024,hadamard_paired,0.003,0.15,0.0025,5,0.0004873602219959139,0.00010750719085924497,0.9808755610138178,0.009979687226204337
32,1024,hadamard_paired,0.003,0.15,0.004,8,0.0005953583813607111,0.00013530541449236112,0.9767473135143518,0.011899214318501498
32,1024,hadamard_paired,0.003,0.15,0.006,12,0.0007620465112267993,0.0001722439963661835,0.9704279396682978,0.01499384090388789
32,1024,hadamard_paired,0.003,0.15,0.009,18,0.0010300412050128216,0.00023095212196365693,0.960450092330575,0.019927789024203366
32,1024,hadamard_paired,0.003,0.15,0.013,27,0.0013973768072901294,0.0003046349375798951,0.9471172504127026,0.026425399754087937
32,1024,hadamard_paired,0.003,0.15,0.02,41,0.0020462655083974823,0.0004314634334735872,0.924839461222291,0.03625039178225803
32,1024,hadamard_paired,0.003,0.15,0.03,61,0.00297611588757718,0.0006193626880039141,0.8949418570846319,0.047574069180784995
32,1024,hadamard_paired,0.003,0.15,0.045,92,0.004419112112373114,0.0009177519829382568,0.8514168690890074,0.06338005930937181
32,1024,hadamard_paired,0.003,0.15,0.067,137,0.006297812476987019,0.0012485356719720646,0.7978144865483046,0.0857269489329647
32,1024,hadamard_paired,0.003,0.15,0.1,205,0.009093718574149534,0.0017132082329965545,0.7241181591525674,0.12021336143258274
32,1024,hadamard_paired,0.003,0.15,0.15,307,0.013050173060037196,0.00253273424793009,0.6344943735748529,0.15642755132511563
32,1024,hadamard_paired,0.003,0.15,0.22,451,0.018362573318881914,0.0037440106180843227,0.5292133502662182,0.18476234997261365
32,1024,hadamard_paired,0.003,0.15,0.33,676,0.025689846428576857,0.006098595736096703,0.39999140633881325,0.23672226807576785
32,1024,hadamard_paired,0.003,0.15,0.5,1024,0.03448634274536744,0.009567039667380964,0.2709635106730275,0.3124513198306809
32,1024,hadamard_paired,0.003,0.3,0.0015,3,0.0007269577672559535,0.00023836383641022356,0.9925089981406927,0.004392526757010142
32,1024,hadamard_paired,0.003,0.3,0.0025,5,0.0007147362075556885,0.0002524510543302874,0.9926372617483139,0.0042713984444390325
32,1024,hadamard_paired,0.003,0.3,0.004,8,0.0009796645663300296,0.00032770943933453547,0.9899137988686562,0.005722058530677665
32,1024,hadamard_paired,0.003,0.3,0.006,12,0.001307400620135013,0.0004156054562265041,0.9865298252552748,0.007563521509617946
32,1024,hadamard_paired,0.003,0.3,0.009,18,0.001820649758883519,0.0005530618250458705,0.9812619183212519,0.01049359512638703
32,1024,hadamard_paired,0.003,0.3,0.013,27,0.0025126491527771577,0.0007088615044842859,0.9741395283490419,0.014489422582028894
32,1024,hadamard_paired,0.003,0.3,0.02,41,0.0037180350263952278,0.000978476705591854,0.9619697779417038,0.021147817122845657
32,1024,hadamard_paired,0.003,0.3,0.03,61,0.0054402399400714785,0.0013919788866357525,0.9450375381857157,0.0296608218407577
32,1024,hadamard_paired,0.003,0.3,0.045,92,0.008110601411317475,0.0020734253961145702,0.9192557260394096,0.04188884319738669
32,1024,hadamard_paired,0.003,0.3,0.067,137,0.011580708087421954,0.0027926926828861446,0.8853828813880682,0.05888318825667431
32,1024,hadamard_paired,0.003,0.3,0.1,205,0.0166989138815552,0.00391591480740024,0.8350558318197727,0.08575452301801335
32,1024,hadamard_paired,0.003,0.3,0.15,307,0.02393604177632369,0.006274116958189605,0.7684487793594599,0.12065131396542116
32,1024,hadamard_paired,0.003,0.3,0.22,451,0.03415357804624364,0.009811790526788176,0.681211126036942,0.1470782859718257
32,1024,hadamard_paired,0.003,0.3,0.33,676,0.04872994142351672,0.016417459314891546,0.5563866191077977,0.18603810044104854
32,1024,hadamard_paired,0.003,0.3,0.5,1024,0.06628877529874444,0.025678719936698596,0.37785893271211535,0.2982951528433883
32,1024,hadamard_paired,0.003,0.5,0.0015,3,0.0010364305726398015,0.0004697245743141423,0.9958737287670374,0.002565810555619967
