experiment,basis,correction,channel,rho,sigma_a,mse_mean,rel_mse_mean,psnr_mean,gain_rel_mse_mean,gain_corr_mean,mse_std,rel_mse_std,psnr_std,gain_rel_mse_std,gain_corr_std,window_frac,agc_window,sigma_delta
oracle_agc,random_gaussian,oracle,ou,0.001,0.1,0.030775925651843273,0.3306122198915572,15.357655347849201,8.491836147293558e-15,0.9999999046325684,0.009057967036441116,0.009688587294114995,1.5521804411485605,6.9336372787299695e-15,1.3902072660712672e-07,,,
oracle_agc,random_gaussian,oracle,ou,0.003,0.1,0.03077592568300493,0.3306122202157561,15.357655343286055,8.460152879901511e-15,1.000000011920929,0.009057967045395167,0.009688586542588183,1.5521804402983197,6.907712081073474e-15,1.0925711859948074e-07,,,
oracle_agc,random_gaussian,oracle,ou,0.01,0.1,0.030775925682132055,0.3306122202790618,15.357655342638116,5.626528499298907e-15,0.9999999761581421,0.009057967016448716,0.009688586996680673,1.5521804389391822,6.891061932770587e-15,1.1680077283436194e-07,,,
oracle_agc,random_gaussian,oracle,ou,0.03,0.1,0.030775925738791905,0.3306122207756462,15.3576553359295,5.623241333837202e-15,0.9999999046325684,0.009057967061342641,0.0096885865502923,1.5521804427544934,6.88703806732008e-15,2.9200193184458784e-08,,,
oracle_agc,random_uniform,agc,ou,0.001,0.1,0.034064288302728354,0.3629136134424693,14.95492828861998,0.0001774566766107455,0.9726364731788635,0.010810945529033077,0.015599520363416686,1.6729066352429018,2.32759929296527e-05,0.0174799815789654,,,
oracle_agc,random_uniform,agc,ou,0.003,0.1,0.03941991429734349,0.41799385245071474,14.344061899120328,0.000503827526117675,0.9592407643795013,0.013047734278959094,0.023398923843315506,1.7421124379773134,6.98396027595386e-05,0.017709900696763932,,,
oracle_agc,random_uniform,agc,ou,0.01,0.1,0.05199540642234905,0.5489365737057031,13.163929157175176,0.001609101011417806,0.901139874458313,0.017830391108931483,0.03741330543815388,1.8078115584090386,0.00022434011566886225,0.016485894253891048,,,
oracle_agc,random_uniform,agc,ou,0.03,0.1,0.06652921789212153,0.7034062175984833,12.084386593818687,0.004144711215049029,0.7512984895706176,0.02243125307115826,0.04095508208423392,1.7841971493160702,0.0004913513934061283,0.015351046386647514,,,
oracle_agc,random_uniform,none,ou,0.001,0.1,0.06501185365898866,0.6881042863005785,12.229793300872013,,,0.02390874756297262,0.10874956901454824,1.8942746935934351,,,,,
oracle_agc,random_uniform,none,ou,0.003,0.1,0.0727111090994475,0.7704142703724822,11.70152830856212,,,0.024767432781816933,0.07181613746351379,1.7879817887998406,,,,,
oracle_agc,random_uniform,none,ou,0.01,0.1,0.0761788022703354,0.8076810323356455,11.482442309511967,,,0.025116819318883248,0.04174220117860628,1.7434646590581178,,,,,
oracle_agc,random_uniform,none,ou,0.03,0.1,0.07789227712697874,0.8265314597550119,11.380153189036827,,,0.025395392420742104,0.034397809381224144,1.7284691552069449,,,,,
oracle_agc,random_uniform,oracle,ou,0.001,0.1,0.03071659475810526,0.32860462786857575,15.38524847010558,8.491836147293558e-15,0.9999999046325684,0.009383535560703638,0.012280791165177336,1.615222056558064,6.9336372787299695e-15,1.3902072660712672e-07,,,
oracle_agc,random_uniform,oracle,ou,0.003,0.1,0.030716594739983515,0.3286046281500435,15.385248467597883,8.460152879901511e-15,1.000000011920929,0.009383535426837309,0.012280793677417582,1.615222042840707,6.907712081073474e-15,1.0925711859948074e-07,,,
oracle_agc,random_uniform,oracle,ou,0.01,0.1,0.030716594925618478,0.32860462943216845,15.385248449296991,5.626528499298907e-15,0.9999999761581421,0.009383535609937856,0.012280791025886568,1.6152220701566542,6.891061932770587e-15,1.1680077283436194e-07,,,
oracle_agc,random_uniform,oracle,ou,0.03,0.1,0.03071659510698548,0.3286046315921577,15.385248422057739,5.623241333837202e-15,0.9999999046325684,0.009383535679776775,0.012280793670191352,1.615222061079431,6.88703806732008e-15,2.9200193184458784e-08,,,
oracle_agc,srht_paired,agc,ou,0.001,0.1,0.00016317627922079602,0.0016813922515129364,38.34896661490674,0.00017753165157046168,0.9726982879638671,6.908618321115866e-05,0.0002727143816965426,2.1821024819869557,2.6811882160629543e-05,0.017468538231997875,,,
oracle_agc,srht_paired,agc,ou,0.003,0.1,0.0004758340440377024,0.0048995987513717285,33.70660509731828,0.0005022034712601453,0.9593872344493866,0.0002032014573054534,0.0008121061379230399,2.192333818395152,7.364582958947259e-05,0.017489690281327085,,,
oracle_agc,srht_paired,agc,ou,0.01,0.1,0.0015478551761481567,0.015935437316559067,28.58571492690804,0.0016047245194204152,0.9014367246627808,0.0006630837833851613,0.0026677372419073695,2.195666668607216,0.00023457346022132236,0.016376757289291805,,,
oracle_agc,srht_paired,agc,ou,0.03,0.1,0.004391651326213578,0.04522711875076818,24.05460770949141,0.004137446032837033,0.75197904586792,0.0018770544334826094,0.0075273191933454,2.1910302223611327,0.000512532396336537,0.014118429612678956,,,
oracle_agc,srht_paired,none,ou,0.001,0.1,0.0005709608360587938,0.006049717065092177,33.13884641175651,,,0.0003017033033674098,0.002420562482667023,2.62971404336488,,,,,
oracle_agc,srht_paired,none,ou,0.003,0.1,0.001094723412856981,0.011545332221099169,30.068421975203133,,,0.00046409699101236255,0.0028056938536286705,2.135705899972226,,,,,
oracle_agc,srht_paired,none,ou,0.01,0.1,0.0022344019241303577,0.02328556573422267,26.93398937601382,,,0.0009035329409855748,0.0037154579071204145,2.054949832374374,,,,,
