experiment,basis,correction,channel,rho,sigma_a,seed,object,num_frames,num_pixels,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
pairwise_failure,srht_paired,none,jitter,0.03,0.1,3,0,2048,1024,0.003166304157968887,0.03745080383505405,24.994473687589526,0.9630384243732887,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,3,1,2048,1024,5.807705129543286e-14,7.281960245454989e-13,120.0,1.000000141735666,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,3,1,2048,1024,0.002920316792336635,0.03661623707056615,25.34570034270375,0.9677680848573054,0.00014967782772146165,0.8798718452453613,0.9999994039535522
pairwise_failure,srht_paired,none,jitter,0.03,0.1,3,1,2048,1024,0.002985727906083694,0.03743639084781978,25.24949772723084,0.9678641131110755,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,3,2,2048,1024,6.182565101881058e-14,8.749232279909204e-13,120.0,1.0000000415054917,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,3,2,2048,1024,0.00293638843149093,0.04155418346235581,25.3218649559008,0.9586126587793695,0.00014959200052544475,0.8799457550048828,0.9999995231628418
pairwise_failure,srht_paired,none,jitter,0.03,0.1,3,2,2048,1024,0.003012726278590206,0.042634475452838126,25.210403243830378,0.9592993935282644,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,3,3,2048,1024,6.43512320917279e-14,6.825683804301333e-13,120.0,0.9999999201615734,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,3,3,2048,1024,0.0036842310382278714,0.03907834444116085,24.336531430025264,0.9504932228769373,0.00014955959341023117,0.8799766898155212,0.9999984502792358
pairwise_failure,srht_paired,none,jitter,0.03,0.1,3,3,2048,1024,0.003803534160377564,0.0403437831315949,24.19812678897103,0.9483124364076395,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,3,4,2048,1024,1.8584732713413234e-14,5.250738767082378e-13,120.0,0.9999998765288943,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,3,4,2048,1024,0.0011751497586375283,0.03320146966844554,29.29906784281198,0.9640669019729923,0.00014973398356232792,0.8798275589942932,0.9999983310699463
pairwise_failure,srht_paired,none,jitter,0.03,0.1,3,4,2048,1024,0.0012179442872292064,0.03441054215692509,29.143725773043876,0.9621842232569069,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,3,5,2048,1024,7.408640384609023e-14,6.413056038455367e-13,120.0,0.9999999900456716,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,3,5,2048,1024,0.005392988979340874,0.04668270930133751,22.68170467198642,0.9540905729373148,0.00014950592594686896,0.8800208568572998,0.9999990463256836
pairwise_failure,srht_paired,none,jitter,0.03,0.1,3,5,2048,1024,0.005528282647257243,0.04785383629489267,22.574097606761722,0.9517875010574208,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,3,6,2048,1024,8.624206315882416e-14,6.478774028188459e-13,120.0,1.0000002536147097,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,3,6,2048,1024,0.006454451740046754,0.04848786400506244,21.901406420706483,0.9470211451551392,0.0001494960015406832,0.8800294399261475,0.999998927116394
pairwise_failure,srht_paired,none,jitter,0.03,0.1,3,6,2048,1024,0.006642746933552771,0.04990239650189393,21.77652292410938,0.9466862480084679,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,3,7,2048,1024,1.07369484439273e-13,8.365378394695823e-13,120.0,0.9999998664984482,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,3,7,2048,1024,0.007171128535538903,0.05587174422050343,21.44412493120233,0.943248162265306,0.00014944437134545296,0.8800730109214783,0.9999990463256836
pairwise_failure,srht_paired,none,jitter,0.03,0.1,3,7,2048,1024,0.007336952334492026,0.05716371170300858,21.34484302369186,0.9424203348144761,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,3,8,2048,1024,9.230643393062277e-14,8.147965000727086e-13,120.0,1.0000001781021701,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,3,8,2048,1024,0.0059952942582276155,0.052920956541137494,22.22189496203452,0.9489613924803785,0.0001494778407504782,0.8800449371337891,0.9999990463256836
pairwise_failure,srht_paired,none,jitter,0.03,0.1,3,8,2048,1024,0.006166403060575835,0.05443134804201325,22.09968091470855,0.9491141609069608,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,3,9,2048,1024,5.951971988434519e-14,7.48971145805631e-13,120.0,1.0000000105845643,0.0,0.9999999403953552,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,3,9,2048,1024,0.0034306656686466453,0.043170055264291296,24.646216035225848,0.9565708660856773,0.00014956982340663671,0.8799647688865662,0.9999992847442627
pairwise_failure,srht_paired,none,jitter,0.03,0.1,3,9,2048,1024,0.003506914507831046,0.04412953861806478,24.550748212955106,0.9557711614080074,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,4,0,2048,1024,6.528017210263355e-14,7.721288915284053e-13,120.0,0.999999967481611,1.4200861420490297e-14,1.0000001192092896,0.9999998807907104
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,4,0,2048,1024,0.003225963417973167,0.03815644900743636,24.913405617649342,0.9613298980953351,0.00015612284187227488,0.8819789290428162,0.9999985694885254
pairwise_failure,srht_paired,none,jitter,0.03,0.1,4,0,2048,1024,0.003326908195576457,0.039350416129855535,24.779591831121373,0.9608961068094279,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,4,1,2048,1024,6.245187912384096e-14,7.830495710265737e-13,120.0,1.0000001395376226,1.4200861420490297e-14,1.0000001192092896,0.9999998807907104
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,4,1,2048,1024,0.003048777883073445,0.03822693963718699,25.158742147521576,0.9643676141902258,0.00015615607844665647,0.8819493055343628,0.9999997615814209
pairwise_failure,srht_paired,none,jitter,0.03,0.1,4,1,2048,1024,0.0030982978354657047,0.03884784293140368,25.08876836388941,0.964421699661539,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,4,2,2048,1024,6.289667629010607e-14,8.90079799287462e-13,120.0,1.0000000336402948,1.4200861420490297e-14,1.0000001192092896,0.9999998807907104
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,4,2,2048,1024,0.0030512106859175484,0.0431790860041433,25.155278033139,0.9530690955055481,0.00015604106010869145,0.8820421695709229,0.9999995231628418
pairwise_failure,srht_paired,none,jitter,0.03,0.1,4,2,2048,1024,0.003101190423076468,0.04388637225586292,25.08471565864489,0.9529665131374244,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,4,3,2048,1024,6.502634448721398e-14,6.897292437021587e-13,120.0,0.9999999348804436,1.4200861420490297e-14,1.0000001192092896,0.9999998807907104
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,4,3,2048,1024,0.003954314511169062,0.041943098272814554,24.02928791513714,0.958415602642972,0.000156116540892981,0.8819810152053833,0.9999998807907104
pairwise_failure,srht_paired,none,jitter,0.03,0.1,4,3,2048,1024,0.004013883453264992,0.04257494128511923,23.9643524179839,0.960329357398099,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,4,4,2048,1024,1.9609028436751148e-14,5.540132719980359e-13,120.0,0.9999998861311092,1.4200861420490297e-14,1.0000001192092896,0.9999998807907104
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,4,4,2048,1024,0.001248713229688757,0.035279856133541426,29.035372870569613,0.9686333121810204,0.00015616680320817977,0.8819406032562256,1.0000003576278687
pairwise_failure,srht_paired,none,jitter,0.03,0.1,4,4,2048,1024,0.0012575832737184015,0.0355304612122928,29.004632475293086,0.9701534775432575,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,4,5,2048,1024,6.943157659622131e-14,6.010125588966236e-13,120.0,0.9999999926198919,1.4200861420490297e-14,1.0000001192092896,0.9999998807907104
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,4,5,2048,1024,0.005652494243899559,0.048929034831385304,22.47759871237168,0.952707758001342,0.00015598320169374347,0.8820885419845581,1.0
pairwise_failure,srht_paired,none,jitter,0.03,0.1,4,5,2048,1024,0.005701710188165642,0.04935505714071426,22.439948611898622,0.952472855973516,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,4,6,2048,1024,8.766360210188954e-14,6.585564488052916e-13,120.0,1.0000002537336965,1.4200861420490297e-14,1.0000001192092896,0.9999998807907104
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,4,6,2048,1024,0.006903970543396415,0.05186479011472747,21.60901070257459,0.9543580521689929,0.00015592806448694319,0.8821331262588501,0.9999998807907104
pairwise_failure,srht_paired,none,jitter,0.03,0.1,4,6,2048,1024,0.006949568399581798,0.052207335498701976,21.580421662732515,0.9533260943729135,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,4,7,2048,1024,1.084478183504143e-13,8.449393617919059e-13,120.0,0.9999998652009039,1.4200861420490297e-14,1.0000001192092896,0.9999998807907104
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,4,7,2048,1024,0.007436090992496359,0.05793612147295364,21.28655304578288,0.9371895418605463,0.0001559236116008833,0.8821374773979187,0.9999994039535522
pairwise_failure,srht_paired,none,jitter,0.03,0.1,4,7,2048,1024,0.007571463157970941,0.058990833986679786,21.20820186546084,0.937002044859913,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,4,8,2048,1024,9.215527481928938e-14,8.134622061386464e-13,120.0,1.0000002040382883,1.4200861420490297e-14,1.0000001192092896,0.9999998807907104
