experiment,basis,correction,channel,rho,sigma_delta,seed,object,num_frames,num_pixels,mse,rel_mse,psnr,recon_scale
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,2,1,2048,1024,0.04711142619994929,0.5907041164152486,13.268737482051415,0.43515606878610597
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,2,2,2048,1024,0.04510463463863717,0.6382964333587169,13.457788307479454,0.3816336128643936
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,2,3,2048,1024,0.05948576375617745,0.6309607462966188,12.255869580009705,0.3883183401196537
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,2,4,2048,1024,0.01972780341367111,0.5573690177356264,17.049212684441688,0.40933283664741016
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,2,5,2048,1024,0.0711925227147928,0.6162556339452655,11.475656175180859,0.37786091626653656
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,2,6,2048,1024,0.08633489664231384,0.6485747970366437,10.638136265806873,0.3731803394712095
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,2,7,2048,1024,0.08417036457885338,0.6557887029064123,10.748407916996944,0.3514994064586887
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,2,8,2048,1024,0.07132643666140438,0.6296043350353046,11.467494719970468,0.3561738637668875
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,2,9,2048,1024,0.047800530594681895,0.601501791997385,13.205672826124932,0.371361118313219
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,3,0,2048,1024,0.0455401891355824,0.5386458801298505,13.416051700237045,0.4319433265602093
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,3,1,2048,1024,0.047416365034676965,0.5945275758062678,13.240717423420163,0.3979857708071366
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,3,2,2048,1024,0.04520920540707873,0.6397762624065427,13.447731260193148,0.39582823971551856
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,3,3,2048,1024,0.05967305781313405,0.6329473594035571,12.242217071308435,0.38533004870214627
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,3,4,2048,1024,0.019548576926433484,0.5523053373527098,17.088848523597843,0.4243139418726561
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,3,5,2048,1024,0.07669325036333628,0.6638709490787612,11.152428558547307,0.34937026649359143
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,3,6,2048,1024,0.08529781293231431,0.6407838992319049,10.690621041619536,0.3605959868488614
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,3,7,2048,1024,0.08378177032175588,0.6527610847525179,10.7685046716832,0.31353604801704527
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,3,8,2048,1024,0.07435494340449185,0.656337213661825,11.286901526037061,0.342662084184268
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,3,9,2048,1024,0.04699417310964681,0.5913549282240137,13.279559876644207,0.37271389570365876
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,4,0,2048,1024,0.04965928923451543,0.5873662816092362,13.039995007246063,0.3952237971362174
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,4,1,2048,1024,0.0474666971958121,0.5951586629366894,13.236109860936464,0.4080513294305428
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,4,2,2048,1024,0.04445284532387718,0.6290726629358823,13.521004356181585,0.38944521408046284
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,4,3,2048,1024,0.05717382865636094,0.6064382352980425,12.428027241989554,0.4038276986998318
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,4,4,2048,1024,0.020388864911676432,0.5760459677274706,16.90606951579253,0.40798857506750685
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,4,5,2048,1024,0.07316595118936244,0.6333379955369955,11.356909770121067,0.38035574512743237
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,4,6,2048,1024,0.08417276581581375,0.6323321927537693,10.748284021954806,0.3635740723987877
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,4,7,2048,1024,0.08814271842928842,0.6867381325791522,10.548135594463215,0.30783315716869447
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,4,8,2048,1024,0.07062912601821515,0.6234491165165059,11.51016167779908,0.36160511806393003
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.05,4,9,2048,1024,0.047304372670477206,0.5952583491566893,13.250987125626823,0.39684103011976707
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,0,0,2048,1024,0.066821115192782,0.7903550487486108,11.750862805980676,0.20102534118153356
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,0,1,2048,1024,0.06563862031907203,0.8230063563292243,11.828405561093621,0.18310842479812262
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,0,2,2048,1024,0.06038442156082729,0.8545277269508958,12.19075089571237,0.1544547912527941
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,0,3,2048,1024,0.0793853724055964,0.8420343062817024,11.00259513552395,0.17286757755328783
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.1,0,4,2048,1024,0.027719906235695504,0.7831696507887174,15.57208243085805,0.20130293630007004
