postprocess_method,rule,observations,mean_selected_cnr,min_selected_cnr,all_hit_apl_min,mean_regret_to_peak,max_regret_to_peak,mean_selected_step
raw_mean_binary,min_proxy_min,4,4.503273606300354,2.0909924507141113,False,9.215520024299622,12.822959423065186,58.25
minmax_otsu_binary,fixed_step_50,4,7.2321648597717285,2.0116729736328125,False,28.195756912231445,70.66650485992432,46.75
raw_otsu_binary,fixed_step_50,4,7.2321648597717285,2.0116729736328125,False,28.195756912231445,70.66650485992432,46.75
raw_mean_binary,max_proxy_otsu_threshold,4,2.9964616894721985,1.9745924472808838,False,10.722331941127777,13.045823812484741,58.25
raw_mean_binary,min_proxy_otsu_threshold,4,3.953168421983719,1.6105057001113892,False,9.765625208616257,13.409910559654236,76.0
raw_mean_binary,max_proxy_min,4,4.400306791067123,1.4174929857254028,False,9.318486839532852,13.602923274040222,62.25
raw_mean_binary,max_proxy_mean,4,2.850799649953842,1.4174929857254028,False,10.867993980646133,13.602923274040222,52.0
raw_mean_plus_std_binary,fixed_step_100,4,7.524704873561859,1.3211281299591064,False,35.50799661874771,98.71038246154785,84.25
raw_mean_plus_std_binary,min_proxy_min,4,5.239108920097351,1.3211281299591064,False,37.79359257221222,98.71038246154785,58.25
minmax_otsu_binary,max_proxy_otsu_threshold,4,13.384184181690216,1.2678658962249756,False,22.043737590312958,44.382591247558594,58.25
raw_otsu_binary,max_proxy_otsu_threshold,4,13.384184181690216,1.2678658962249756,False,22.043737590312958,44.382591247558594,58.25
raw_mean_plus_std_binary,min_proxy_otsu_threshold,4,3.3020667135715485,1.146762728691101,False,39.73063477873802,103.29996013641357,76.0
minmax_otsu_binary,fixed_step_100,4,8.894330754876137,0.9860029816627502,False,26.533591017127037,63.40828323364258,84.25
raw_otsu_binary,fixed_step_100,4,8.894330754876137,0.9860029816627502,False,26.533591017127037,63.40828323364258,84.25
minmax_otsu_binary,min_proxy_min,4,6.118713095784187,0.9860029816627502,False,29.309208676218987,63.40828323364258,58.25
raw_otsu_binary,min_proxy_min,4,6.118713095784187,0.9860029816627502,False,29.309208676218987,63.40828323364258,58.25
minmax_otsu_binary,min_proxy_otsu_threshold,4,3.372905269265175,0.7293891906738281,False,32.055016502738,71.19648170471191,76.0
raw_otsu_binary,min_proxy_otsu_threshold,4,3.372905269265175,0.7293891906738281,False,32.055016502738,71.19648170471191,76.0
raw_mean_binary,fixed_step_75,4,5.257523916661739,0.4950180947780609,False,8.461269713938236,14.02561941742897,65.5
raw_mean_plus_std_binary,fixed_step_75,4,5.9278202429413795,0.4606532156467438,False,37.10488124936819,103.43533849716187,65.5
raw_mean_binary,min_proxy_otsu_score,4,3.340715356171131,0.43130573630332947,False,10.378078274428844,14.268524706363678,72.25
minmax_otsu_binary,max_proxy_min,4,16.0756391659379,0.4140240252017975,False,19.352282606065273,43.443267822265625,62.25
raw_otsu_binary,max_proxy_min,4,16.0756391659379,0.4140240252017975,False,19.352282606065273,43.443267822265625,62.25
minmax_otsu_binary,max_proxy_mean,4,12.944221056997776,0.4140240252017975,False,22.483700715005398,44.382591247558594,52.0
raw_otsu_binary,max_proxy_mean,4,12.944221056997776,0.4140240252017975,False,22.483700715005398,44.382591247558594,52.0
minmax_otsu_binary,fixed_step_36,4,16.13650757819414,0.390584260225296,False,19.291414193809032,38.44729232788086,36.0
raw_otsu_binary,fixed_step_36,4,16.13650757819414,0.390584260225296,False,19.291414193809032,38.44729232788086,36.0
minmax_otsu_binary,max_proxy_otsu_fg_fraction,4,2.913820333778858,0.390584260225296,False,32.514101438224316,73.14331722259521,9.75
raw_otsu_binary,max_proxy_otsu_fg_fraction,4,2.913820333778858,0.390584260225296,False,32.514101438224316,73.14331722259521,9.75
raw_mean_binary,min_proxy_range,4,4.604090683162212,0.38100990653038025,False,9.114702947437763,14.139627605676651,99.25
raw_mean_plus_std_binary,min_proxy_otsu_score,4,3.627031482756138,0.3794436752796173,False,39.40567000955343,103.43533849716187,72.25
minmax_otsu_binary,fixed_step_75,4,6.55682373046875,0.37409543991088867,False,28.871098041534424,71.32169437408447,65.5
raw_otsu_binary,fixed_step_75,4,6.55682373046875,0.37409543991088867,False,28.871098041534424,71.32169437408447,65.5
minmax_otsu_binary,min_proxy_range,4,12.719501420855522,0.2659054100513458,False,22.70842035114765,42.379478454589844,99.25
raw_otsu_binary,min_proxy_range,4,12.719501420855522,0.2659054100513458,False,22.70842035114765,42.379478454589844,99.25
raw_mean_binary,min_proxy_otsu_fg_fraction,4,3.6456516087055206,0.25403156876564026,False,10.073142021894455,14.633452206850052,76.5
raw_mean_plus_std_binary,min_proxy_otsu_fg_fraction,4,10.710130579769611,0.24563056230545044,False,32.32257091253996,81.2042007446289,76.5
raw_mean_binary,max_proxy_aug_loss,4,2.5888720974326134,0.1851615309715271,False,11.129921533167362,14.835254728794098,55.0
raw_mean_binary,max_proxy_dual_abs_mean,4,2.5888720974326134,0.1851615309715271,False,11.129921533167362,14.835254728794098,55.0
raw_mean_binary,min_proxy_max,4,3.344798408448696,0.1808924674987793,False,10.37399522215128,14.839523792266846,76.25
raw_mean_plus_std_binary,max_proxy_aug_loss,4,7.9687551856040955,0.18033531308174133,False,35.063946306705475,84.04799270629883,55.0
raw_mean_plus_std_binary,max_proxy_dual_abs_mean,4,7.9687551856040955,0.18033531308174133,False,35.063946306705475,84.04799270629883,55.0
raw_mean_plus_std_binary,min_proxy_max,4,5.34413468465209,0.17902763187885284,False,37.68856680765748,96.49715042114258,76.25
raw_mean_binary,min_proxy_tv_l1,4,4.42861619964242,0.17859147489070892,False,9.290177430957556,14.841824784874916,64.5
raw_mean_binary,min_proxy_hist_entropy,4,4.338175568729639,0.17859147489070892,False,9.380618061870337,14.841824784874916,64.75
raw_mean_binary,min_proxy_roughness_l2,4,3.415410179644823,0.17859147489070892,False,10.303383450955153,14.841824784874916,65.75
