object,family,K_eff,basis,rho,s,seed,W,photon_budget,lambda_bar,zero_fraction,method,gain_rel_mse,log_gain_mse,fisher_reference,fisher_reference_nominal
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,32.0,31.999866485595703,0.0,naive_log,0.0004771369798245097,0.00048187877060642626,0.0004869152981928031,0.0004882832872766321
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,32.0,31.999866485595703,0.0,anscombe,0.00046543931497078367,0.0004700625682077032,0.0004869152981928031,0.0004882832872766321
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,64.0,63.999732971191406,0.0,soft_log,0.00021578501165071755,0.0002149604626209667,0.00024345764909640156,0.00024414164363831606
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,64.0,63.999732971191406,0.0,soft_log_calibrated,0.00021577384356359647,0.00021494941352017657,0.00024345764909640156,0.00024414164363831606
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,64.0,63.999732971191406,0.0,soft_log_calibrated_carrier_oracle,0.0001798146889696409,0.00018098308752721238,0.00024345764909640156,0.00024414164363831606
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,64.0,63.999732971191406,0.0,naive_log,0.0002200442300947272,0.00021916046596557077,0.00024345764909640156,0.00024414164363831606
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,64.0,63.999732971191406,0.0,anscombe,0.00021399564398691536,0.00021354077314841407,0.00024345764909640156,0.00024414164363831606
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,128.0,127.99946594238281,0.0,soft_log,0.00014230845301705234,0.00014384319021328138,0.00012172882454820078,0.00012207082181915803
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,128.0,127.99946594238281,0.0,soft_log_calibrated,0.00014230658059692834,0.00014384124861578157,0.00012172882454820078,0.00012207082181915803
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,128.0,127.99946594238281,0.0,soft_log_calibrated_carrier_oracle,9.438347363683221e-05,9.69099520018558e-05,0.00012172882454820078,0.00012207082181915803
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,128.0,127.99946594238281,0.0,naive_log,0.0001437188125774294,0.00014530573863298367,0.00012172882454820078,0.00012207082181915803
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,0,64,128.0,127.99946594238281,0.0,anscombe,0.00014171814061009132,0.00014312207335413264,0.00012172882454820078,0.00012207082181915803
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,0.25,0.2500022351741791,0.783203125,soft_log,0.0034867221500451606,0.0035130931790683323,0.06232493127001282,0.06249944121145119
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,0.25,0.2500022351741791,0.783203125,soft_log_calibrated,0.05566077584904277,0.0711666158783763,0.06232493127001282,0.06249944121145119
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,0.25,0.2500022351741791,0.783203125,soft_log_calibrated_carrier_oracle,0.05519212101655264,0.07027088286457508,0.06232493127001282,0.06249944121145119
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,0.25,0.2500022351741791,0.783203125,naive_log,0.10754598021914656,0.12187904625990302,0.06232493127001282,0.06249944121145119
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,0.25,0.2500022351741791,0.783203125,anscombe,0.006609837852230421,0.006749347826029265,0.06232493127001282,0.06249944121145119
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,0.5,0.5000044703483582,0.6044921875,soft_log,0.006641936534134482,0.006780629992243615,0.03116246563500641,0.031249720605725596
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,0.5,0.5000044703483582,0.6044921875,soft_log_calibrated,0.034597938258597055,0.03916942889605188,0.03116246563500641,0.031249720605725596
