object,family,K_eff,basis,N,N_factor,seed,v,rel_mse,measured_leverage,C0_measured,theory_rel_mse,target_energy
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,10,0.01,0.009421057806969436,1.0,3.358236201082832e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,11,0.0,3.279527540119953e-13,1.0,3.358236201082832e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,11,0.0001,9.266986425662515e-05,1.0,3.358236201082832e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,11,0.0003,0.0002857397594966366,1.0,3.358236201082832e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,11,0.001,0.0011260880389627214,1.0,3.358236201082832e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,11,0.003,0.003465269450489601,1.0,3.358236201082832e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,11,0.01,0.009792474001866345,1.0,3.358236201082832e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,12,0.0,3.279527540119953e-13,1.0,3.358236201082832e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,12,0.0001,9.350642384089703e-05,1.0,3.358236201082832e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,12,0.0003,0.00030117320229451644,1.0,3.358236201082832e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,12,0.001,0.0010632763485289721,1.0,3.358236201082832e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,12,0.003,0.00298396289273905,1.0,3.358236201082832e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,12,0.01,0.00998910062313346,1.0,3.358236201082832e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,13,0.0,3.279527540119953e-13,1.0,3.358236201082832e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,13,0.0001,9.837934091804476e-05,1.0,3.358236201082832e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,13,0.0003,0.0003176939103254138,1.0,3.358236201082832e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,13,0.001,0.0009651718313980942,1.0,3.358236201082832e-10,0.001,0.06494319704508411
