basis,rho,estimator,statistic,n_cells,median,ci_lo_naive,ci_hi_naive,ci_lo_seed_cluster,ci_hi_seed_cluster,ci_lo_two_way,ci_hi_two_way
random_uniform,0.001,gain_rel_err_log,slope_wle16,200,-0.3872553958611227,-0.4013138925430743,-0.37478481320675144,-0.39092686707091373,-0.3820746793549438,-0.42515059096718266,-0.32074506075380355
random_uniform,0.001,gain_rel_err_log,log10_best_err,200,-1.9483138291148792,-1.964835917819187,-1.940603590320342,-1.9543052757822215,-1.9439029432372885,-2.031273594221232,-1.9257253357642286
random_uniform,0.01,gain_rel_err_ratio,slope_wle16,200,-0.10396744155282922,-0.12919136015004543,-0.08116779675870264,-0.11462130221371374,-0.09771266513057003,-0.16039224873964178,0.07298187891140269
random_uniform,0.01,gain_rel_err_ratio,log10_best_err,200,-1.692885644371892,-1.7010167791807744,-1.6861338352969686,-1.69744937664431,-1.6883048161550396,-1.767672872071161,-1.6722128695503853
random_uniform,0.01,gain_rel_err_log,slope_wle16,200,-0.10485433868523898,-0.13134395631869028,-0.08314432820970633,-0.11472970330492761,-0.09886139272454467,-0.16107354739960797,0.06966074107108199
random_uniform,0.01,gain_rel_err_log,log10_best_err,200,-1.6931822740737734,-1.701677198982888,-1.6859293995678828,-1.69742993833055,-1.6879425157951269,-1.7648153312682309,-1.6717061851060928
srht_paired,0.001,gain_rel_err_ratio,slope_wle16,200,-0.5749320168569722,-0.6020839218442744,-0.541722145233693,-0.5762985570443483,-0.5652289804533139,-0.6603058651176555,-0.41481564279200833
srht_paired,0.001,gain_rel_err_ratio,log10_best_err,200,-2.115750694552135,-2.1346541249406465,-2.102732695184903,-2.1238485907965075,-2.1099725297549794,-2.179945489210406,-2.0820029623839607
srht_paired,0.001,gain_rel_err_log,slope_wle16,200,-0.5690395134838708,-0.5909674392599993,-0.542123945249299,-0.571116000655137,-0.5612320975396804,-0.6427659466511879,-0.4189180926806167
srht_paired,0.001,gain_rel_err_log,log10_best_err,200,-2.1017231618296592,-2.119617260361281,-2.0903977808686176,-2.107634930941293,-2.0977522800893693,-2.1861402038435083,-2.063909755826124
srht_paired,0.01,gain_rel_err_ratio,slope_wle16,200,-0.06070146663006631,-0.08058747305748962,-0.04070118882433172,-0.0666930862262422,-0.052510661144862414,-0.14154236145396326,0.0771443425843212
srht_paired,0.01,gain_rel_err_ratio,log10_best_err,200,-1.8080441219586598,-1.818362144565468,-1.8021546877421901,-1.8111810059191602,-1.8057203631548373,-1.852818936714437,-1.7827379164626098
srht_paired,0.01,gain_rel_err_log,slope_wle16,200,-0.0662136567882381,-0.08621036068989009,-0.04559270773184357,-0.07310224817905064,-0.05864622653768632,-0.14988826787918938,0.12003361435589252
srht_paired,0.01,gain_rel_err_log,log10_best_err,200,-1.8042272534106623,-1.8122555705426815,-1.7976571464376678,-1.8066707956625094,-1.801261754771045,-1.866644188508492,-1.7736261572040846
