object,family,K_eff,basis,requested_basis,arm_kind,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w,theory_floor,err_over_floor
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,256,1024,0.0,717355328.0,0.9556472088526976,2010151041445264.0,44834708.0,2.1314897575617035e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,1,512,1024,0.0,717355328.0,0.9055771031115925,1005075520722632.0,31702926.05931875,2.856446440991548e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,4,1024,0.0,717355328.0,0.9021020939750601,1.286496666524969e+17,358677664.0,2.5150774205305967e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,8,1024,0.0,717355328.0,0.9084545696719855,6.432483332624845e+16,253623408.47455,3.5819034809759875e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,16,1024,0.0,717355328.0,0.9424187024049141,3.2162416663124224e+16,179338832.0,5.254961749750406e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,32,1024,0.0,717355328.0,0.9778592353148193,1.6081208331562112e+16,126811704.237275,7.711111850410631e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,64,1024,0.0,717355328.0,0.9818249540590117,8040604165781056.0,89669416.0,1.0949384950371615e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,128,1024,0.0,717355328.0,0.978200039722736,4020302082890528.0,63405852.1186375,1.542759866853369e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,256,1024,0.0,717355328.0,0.9598143807899966,2010151041445264.0,44834708.0,2.1407842798708462e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,512,1024,0.0,717355328.0,0.9147731119704005,1005075520722632.0,31702926.05931875,2.8854532551941282e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,4,1024,0.0,717355328.0,0.905557670930053,1.286496666524969e+17,358677664.0,2.5247116333679842e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,8,1024,0.0,717355328.0,0.9135565041291067,6.432483332624845e+16,253623408.47455,3.6020196622378334e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,16,1024,0.0,717355328.0,0.9472290201133122,3.2162416663124224e+16,179338832.0,5.2817842602728235e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,32,1024,0.0,717355328.0,0.9781337070325128,1.6081208331562112e+16,126811704.237275,7.713276254077819e-09
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,64,1024,0.0,717355328.0,0.9795090662777096,8040604165781056.0,89669416.0,1.092355799749727e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,128,1024,0.0,717355328.0,0.9732066996216227,4020302082890528.0,63405852.1186375,1.5348846630129248e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,256,1024,0.0,717355328.0,0.9547156506456586,2010151041445264.0,44834708.0,2.1294119962723043e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,512,1024,0.0,717355328.0,0.9099597606714943,1005075520722632.0,31702926.05931875,2.8702705831281494e-08
letter_L,binary_letter,59.80235255589372,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,4,1024,0.0,717355328.0,0.9017006132449776,1.286496666524969e+17,358677664.0,2.513958084786059e-09
