sigma_a,rho,seed,object,rel_mse_raw
0.05,1.0,3,4,0.5442038039847313
0.05,1.0,3,5,0.493451216815363
0.05,1.0,3,6,0.4846212109477152
0.05,1.0,3,7,0.5267529110665969
0.05,1.0,3,8,0.5043874653410639
0.05,1.0,3,9,0.5066149227205285
0.05,1.0,4,0,0.49230200794527057
0.05,1.0,4,1,0.49802484571672
0.05,1.0,4,2,0.4785693362692816
0.05,1.0,4,3,0.5095086784481303
0.05,1.0,4,4,0.5442038104570259
0.05,1.0,4,5,0.4934511993977554
0.05,1.0,4,6,0.4846212365908204
0.05,1.0,4,7,0.5267529142939397
0.05,1.0,4,8,0.5043874428574545
0.05,1.0,4,9,0.5066149372285903
0.05,3.0,0,0,0.49230206362277007
0.05,3.0,0,1,0.4980248977003522
0.05,3.0,0,2,0.47856935478489815
0.05,3.0,0,3,0.5095086541280965
0.05,3.0,0,4,0.5442038089624478
0.05,3.0,0,5,0.49345122892408166
0.05,3.0,0,6,0.4846212134769353
0.05,3.0,0,7,0.5267528881787181
0.05,3.0,0,8,0.5043874711652258
0.05,3.0,0,9,0.5066149616441873
0.05,3.0,1,0,0.49230201604166485
0.05,3.0,1,1,0.4980249122954652
0.05,3.0,1,2,0.4785693564800727
0.05,3.0,1,3,0.5095086548884965
0.05,3.0,1,4,0.5442038213481789
0.05,3.0,1,5,0.4934511962441
0.05,3.0,1,6,0.4846212426149661
0.05,3.0,1,7,0.5267528787563561
0.05,3.0,1,8,0.5043874401983202
0.05,3.0,1,9,0.5066149291103287
0.05,3.0,2,0,0.49230199776833233
0.05,3.0,2,1,0.49802489765583036
0.05,3.0,2,2,0.47856934141400687
0.05,3.0,2,3,0.5095086551908089
0.05,3.0,2,4,0.5442038224606481
0.05,3.0,2,5,0.49345119909529245
0.05,3.0,2,6,0.4846212375315273
0.05,3.0,2,7,0.5267528870137493
0.05,3.0,2,8,0.5043874781223441
0.05,3.0,2,9,0.5066149488176553
0.05,3.0,3,0,0.49230202006219265
0.05,3.0,3,1,0.4980249192145128
0.05,3.0,3,2,0.47856932839979005
0.05,3.0,3,3,0.50950865610474
0.05,3.0,3,4,0.5442037879516158
0.05,3.0,3,5,0.4934511708262539
0.05,3.0,3,6,0.48462124586679356
0.05,3.0,3,7,0.5267528861820745
0.05,3.0,3,8,0.5043874744484034
0.05,3.0,3,9,0.5066149763258422
0.05,3.0,4,0,0.49230200791450685
0.05,3.0,4,1,0.49802489919821696
0.05,3.0,4,2,0.4785693439787298
0.05,3.0,4,3,0.5095086629998992
0.05,3.0,4,4,0.544203812427462
0.05,3.0,4,5,0.4934512250323149
0.05,3.0,4,6,0.48462123912751454
0.05,3.0,4,7,0.5267529089545553
0.05,3.0,4,8,0.5043874688498283
0.05,3.0,4,9,0.5066149639183528
0.05,10.0,0,0,0.4923020172413869
0.05,10.0,0,1,0.49802488763973407
0.05,10.0,0,2,0.47856935661007066
0.05,10.0,0,3,0.5095086827249931
0.05,10.0,0,4,0.5442038221160157
0.05,10.0,0,5,0.49345122741245523
0.05,10.0,0,6,0.4846212186006312
0.05,10.0,0,7,0.5267528717812454
0.05,10.0,0,8,0.5043874503789225
0.05,10.0,0,9,0.5066149522723098
0.05,10.0,1,0,0.49230200331540486
0.05,10.0,1,1,0.49802486390329936
0.05,10.0,1,2,0.4785693735364107
0.05,10.0,1,3,0.5095086377995016
0.05,10.0,1,4,0.5442037905937712
